,UACC812_Serum,UACC812_PBS,UACC812_EGF,UACC812_Insulin,UACC812_FGF1,UACC812_HGF,UACC812_NRG1,UACC812_IGF1,MCF7_Serum,MCF7_PBS,MCF7_EGF,MCF7_Insulin,MCF7_FGF1,MCF7_HGF,MCF7_NRG1,MCF7_IGF1,BT20_Serum,BT20_PBS,BT20_EGF,BT20_Insulin,BT20_FGF1,BT20_HGF,BT20_NRG1,BT20_IGF1,BT549_Serum,BT549_PBS,BT549_EGF,BT549_Insulin,BT549_FGF1,BT549_HGF,BT549_NRG1,BT549_IGF1
4EBP1_pS65,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,NaN,0,1,0,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACC_pS79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Akt_pS473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Akt_pT308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AMPK_pT172,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bad_pS112,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c-Met_pY1235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NaN,0,1,0,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c-Raf_pS338,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chk1_pS345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chk2_pT68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EGFR_pY1068,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,NaN,1,1,0,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EGFR_pY1173,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,NaN,1,0,0,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ER-alpha_pS118,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GSK3-alpha-beta_pS21_S9,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,NaN,1,1,0,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HER2_pY1248,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,NaN,1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JNK_pT183_pT185,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAPK_pT202_Y204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEK1_pS217_S221,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NaN,1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mTOR_pS2448,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NF-kB-p65_pS536,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NaN,0,0,0,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
p27_pT157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
p27_pT198,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
p38_pT180_Y182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
p70S6K_pT389,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
p90RSK_pT359_S363,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PDK1_pS241,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,NaN,0,0,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PKC-alpha_pS657,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRAS40_pT246,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,NaN,1,0,0,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rb_pS807_S811,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
