,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.114017509,0.00193725,0.00059408,0.000951367,0.000525556,0.020805046,0.001059729,0.000635686,0.003174312,0.001123053,0.00065863,0.000865195,0.002082357,0.001041048,0.000604513,0.010443537,0.000256476,0.000562417,0.000608273,0.002626289,0.000494554,0.000269285,0.001640769,0.006399905,0.000722427,0.000701072,0.001211186,0.004053853,0.03773323,0.003378097,0.003397077,0.000524808,0.000614473,0.077142505,0.000657033
ACC_pS79,0.000539014,0.000265828,0.000526194,0.000599491,0.001158706,0.00203143,0.000396147,0.000594207,0.044346974,0.000722076,0.079107698,0.000443571,0.000724652,0.000661877,0.001232401,0.0004268,0.000475362,0.000738471,0.000602186,0.000775631,0.000859168,0.00026107,0.000439229,0.000739114,0.005778484,0.004308401,0.00083142,0.001246374,0.000546537,0.000623627,0.001422389,0.001226928,0.000351462,0.001075177,0.001516382
Akt_pS473,0.00025009,1.10E-05,0.999977359,0.011398104,2.15E-05,0.605601805,0.000397669,0.000247373,5.21E-05,3.28E-05,0.000117545,5.77E-05,0.000350467,0.911493452,0.000240783,0.000428718,0.000520455,0.001657272,0.00035372,0.000320316,1.98E-05,0.000136899,0.001750919,0.037885577,0.000124328,1.47E-05,6.74E-05,0.678766629,0.018892045,0.000127646,5.14E-05,5.19E-05,4.99E-05,0.00961977,2.00E-05
Akt_pT308,0.000651867,8.73E-06,0.000717275,0.99109643,1.98E-05,0.004245026,0.000209073,0.000587832,3.82E-05,7.87E-05,0.000171426,2.62E-05,6.20E-05,0.248466389,0.000315037,7.05E-05,0.000859187,0.003594786,5.70E-05,0.000136204,2.84E-05,0.000113732,0.005603722,0.023416528,0.000119289,1.71E-05,0.000208337,0.131030289,0.000298678,3.22E-05,8.83E-05,0.000113301,3.00E-05,0.00506319,2.46E-05
AMPK_pT172,0.000597837,0.091970083,0.000539682,0.000584109,0.006817135,0.002927164,0.000252313,0.000749977,0.000867841,0.00148157,0.000840358,0.007863367,0.000686139,0.000584185,0.000674674,0.000796058,0.000614809,0.000497349,0.108211761,0.000728337,0.000385946,0.000269,0.000456019,0.000926068,0.001826808,0.00061194,0.000587851,0.000595342,0.002345084,0.001013884,0.000602098,0.000653843,0.002897089,0.000336749,0.000887286
Bad_pS112,0.001030109,0.000463149,0.000537737,0.000604665,0.0009934,0.416316916,0.000267308,0.000563642,0.00054443,0.000682284,0.001450481,0.000949503,0.002801584,0.000552197,0.00296266,0.000654391,0.757387888,0.490109908,0.000540546,0.064215684,0.000249583,0.000480574,0.001441118,0.000738998,0.000728002,0.000779765,0.001473553,0.000656554,0.001227463,0.000614795,0.001908909,0.000522909,0.00035276,0.000764482,0.000645087
c-Met_pY1235,0.000713438,0.000375359,0.0005277,0.000577365,0.001120075,0.000954713,0.002639706,0.024365111,0.001093382,0.000767915,0.000743958,0.000376497,0.000521805,0.000624765,0.000704738,0.443333724,0.000310644,0.000469256,0.001298794,0.000685308,0.000665446,0.000417383,0.001648421,0.000671117,0.000658526,0.019053222,0.815859953,0.000578866,0.000481993,0.000700521,0.737065265,0.239991871,0.00045742,0.00027091,0.004221508
c-Raf_pS338,0.006739991,0.002391512,0.000566824,0.000851942,0.001940296,0.000652779,0.001442764,0.968659123,0.001589091,0.000853079,0.105381746,0.000456653,0.000579661,0.002714006,0.070218754,0.000460852,0.000579352,0.301784998,0.001930589,0.002786429,0.002695709,0.000266537,0.000463088,0.002845964,0.001184207,0.001094989,0.003496846,0.001333988,0.001218732,0.00054441,0.702209485,0.015983628,0.000503075,0.000274381,0.015460118
Chk1_pS345,0.000519432,0.000281231,0.000543029,0.000740218,0.042129966,0.00057927,0.000294457,0.003326636,0.567564108,0.004317327,0.002371063,0.000567705,0.000576145,0.000557353,0.000510853,0.001762326,0.000246927,0.001725647,0.000893379,0.000515967,0.000833707,0.000276348,0.000430695,0.000776051,0.005620474,0.000532215,0.000986924,0.001106327,0.001217698,0.000821521,0.000856221,0.00099778,0.00051601,0.00114612,0.000679337
Chk2_pT68,0.000597368,0.000308177,0.000683339,0.00127016,0.000463657,0.005637432,0.000971874,0.000537801,0.001746252,0.82758705,0.000767691,0.00041731,0.001036524,0.001163589,0.000630147,0.000418923,0.000232618,0.000454718,0.001712279,0.000515067,0.000314788,0.000377413,0.065097914,0.001154586,0.000951391,0.000585781,0.001232994,0.032680252,0.000981148,0.000865683,0.002212191,0.000570356,0.000441462,0.000825593,0.00070222
EGFR_pY1068,0.001134933,0.000306482,0.000537147,0.000600762,0.00146039,0.000541246,0.00088519,0.165006453,0.001308272,0.006928776,0.323297807,0.001188238,0.00051371,0.000575529,0.003114895,0.145790581,0.000300407,0.00079414,0.001468451,0.000640048,0.003295962,0.000565233,0.031665664,0.000626976,0.00068584,0.146809339,0.600728293,0.004508967,0.000557693,0.000558185,0.275495498,0.514614933,0.000499841,0.000436427,0.003554831
EGFR_pY1173,0.000550537,0.000298224,0.000530997,0.000557089,0.000353633,0.000617783,0.000288733,0.001066909,0.00051713,0.000586797,0.001108053,0.000357888,0.00070523,0.000551596,0.000520221,0.003724896,0.000420908,0.000575561,0.000570497,0.000510193,0.000241525,0.000265402,0.137674997,0.000628007,0.000738474,0.032658144,0.00309971,0.000871553,0.000516895,0.000544273,0.00196995,0.000897957,0.000558064,0.000289571,0.000650085
ER-alpha_pS118,0.000736181,0.000327183,0.000639339,0.000647004,0.000881826,0.003714746,0.000321256,0.000613971,0.001798269,0.001377295,0.003335051,0.000414747,0.842295033,0.000682148,0.000565193,0.005022441,0.000561587,0.001541191,0.000570165,0.000644394,0.000452883,0.000293599,0.000532705,0.000737803,0.325937911,0.001090282,0.001223038,0.001015705,0.003304173,0.000543468,0.000506883,0.002247802,0.016264108,0.000268597,0.004468681
GSK3-alpha-beta_pS21_S9,0.000544825,0.000330819,0.000675906,0.000805063,0.000629444,0.007542608,0.000301596,0.00157236,0.000601269,0.000598178,0.000597713,0.000452112,0.001403342,0.000638346,0.000531057,0.000496315,0.000684778,0.003306622,0.093433923,0.002405257,0.00026439,0.000325556,0.001121972,0.006222009,0.000601702,0.000506497,0.000581774,0.000674421,0.00094819,0.005810489,0.00136765,0.00049649,0.000363999,0.000281514,0.000891203
HER2_pY1248,0.002531567,0.000783222,0.000532454,0.000553577,0.00060457,0.001355397,0.008912768,0.285408807,0.000605892,0.002157799,0.011421959,0.002046087,0.000505927,0.000556842,0.005818907,0.140894283,0.000433765,0.000775195,0.001930451,0.000761594,0.002937198,0.000331764,0.098872823,0.000671514,0.00061422,0.03028547,0.501022019,0.005445607,0.015618165,0.000710866,0.411686919,0.312589429,0.000494553,0.000397101,0.001450676
JNK_pT183_pT185,0.000760078,0.000276689,0.000570729,0.000630828,0.000473506,0.000822511,0.000967928,0.000641233,0.000713456,0.002096565,0.001049098,0.000475825,0.000748599,0.000549029,0.000524785,0.001175053,0.000265726,0.000692856,0.000548093,0.000510792,0.000262402,0.000278233,0.000545202,0.000745528,0.000806548,0.0005446,0.00067947,0.000678822,0.000657212,0.000565235,0.000645921,0.000529334,0.000416552,0.000291718,0.011950167
MAPK_pT202_Y204,0.000775613,0.000530826,0.000545073,0.000622542,0.000570638,0.147330413,0.000410615,0.027195778,0.000754572,0.000597802,0.311181826,0.064502,0.000509723,0.000704461,0.535630825,0.000629902,0.866365907,0.597658281,0.14949617,0.001516908,0.000528831,0.004050647,0.000473112,0.000671474,0.998326586,0.000507549,0.003202583,0.002263784,0.008095676,0.000656384,0.00157513,0.000620637,0.000395994,0.000787749,0.000576304
MEK1_pS217_S221,0.000626382,0.000787598,0.000526717,0.000557172,0.000109857,0.00075697,0.001316687,0.005045938,0.000159471,0.000100891,0.083891347,0.03647365,0.000485873,0.000537829,0.018754678,0.000206146,0.962800034,0.49135989,0.000138754,0.000160806,9.23E-05,0.000376724,0.000238964,0.000274643,0.001886954,0.000218885,0.001130053,0.001496417,0.000351673,0.000164095,0.000948108,0.000136809,0.000192836,0.000182653,0.004186288
mTOR_pS2448,0.995225276,1.28E-05,0.032765806,0.077135455,1.83E-05,0.000297753,2.91E-05,0.000104227,0.001023701,0.205107987,3.70E-05,6.02E-05,0.004488006,0.000968217,6.21E-05,0.000624693,1.25E-05,2.57E-05,5.29E-05,0.003910477,9.54E-05,3.18E-05,0.011034092,0.334137389,3.78E-05,7.61E-05,9.11E-05,0.082288794,0.026654103,8.41E-05,9.33E-05,4.27E-05,0.000638221,2.25E-05,1.82E-05
NF-kB-p65_pS536,0.000785814,0.000415738,0.000573736,0.000685511,0.000574825,0.005056675,0.000260765,0.001248547,0.031704802,0.000509384,0.001504908,0.000385583,0.001127723,0.000589375,0.000572639,0.000515843,0.009919914,0.11731237,0.000538791,0.902824944,0.000434052,0.000270997,0.000694949,0.000794403,0.000694512,0.00151685,0.006015142,0.000729496,0.000965399,0.000558325,0.000620454,0.002079297,0.000422557,0.000553746,0.00090783
p27_pT157,0.001096819,0.000294796,0.000599693,0.000562055,0.000452503,0.000531887,0.000286365,0.00387792,0.000893788,0.00052474,0.00126204,0.000367663,0.000516189,0.000571974,0.000604262,0.000615514,0.000388394,0.000767777,0.000547566,0.00089766,0.000620954,0.000301745,0.001085621,0.000608687,0.001051463,0.000584273,0.002887097,0.000818733,0.000564324,0.000709903,0.001096962,0.000502318,0.000352854,0.00035305,0.000663396
p27_pT198,0.000526108,0.000319527,0.001312615,0.001300589,0.001155192,0.004138487,0.000245071,0.000800845,0.000947757,0.001117039,0.000883739,0.000349052,0.000514651,0.002429097,0.000952788,0.000454861,0.00037355,0.000470587,0.00169434,0.000810987,0.000242325,0.000385535,0.00039333,0.000565398,0.0007296,0.000515951,0.000717461,0.000552476,0.008060423,0.000579617,0.000479839,0.001935398,0.00128451,0.000263658,0.001452125
p38_pT180_Y182,0.000546325,0.000291211,0.000550995,0.001980358,0.000714074,0.091325873,0.000867362,0.000527457,0.00200393,0.000588872,0.000779883,0.000437033,0.000718723,0.00060766,0.000526183,0.000506692,0.000264247,0.000682986,0.001118444,0.002527967,0.00024547,0.000523595,0.005408467,0.001031074,0.000564537,0.00071019,0.000744051,0.001166125,0.00052965,0.000732315,0.000854854,0.000513131,0.003245891,0.000281528,0.000883517
p70S6K_pT389,0.000623122,0.000867862,0.000555852,0.001467332,0.000477104,0.003966338,0.000657682,0.000561742,0.000987746,0.000645316,0.000558848,0.3003382,0.02027328,0.247037029,0.000487756,0.007300666,0.000390113,0.000775416,0.997392928,0.004097894,0.000271056,0.092619011,0.000899254,0.951248299,0.000693334,0.163046298,0.000584266,0.495123623,0.223162132,0.319705259,0.001753759,0.000982356,0.00153099,0.000319523,0.000593024
p90RSK_pT359_S363,0.001130968,0.001425664,0.000711298,0.000668866,0.000463997,0.631773742,0.000429457,0.000693795,0.000695,0.000686606,0.003704019,0.022510104,0.000532176,0.005838622,0.00129402,0.000534616,0.000639728,0.000927954,0.020712316,0.00966723,0.000259579,0.001458951,0.000405512,0.000772704,0.002527245,0.000551097,0.020425669,0.001992736,0.227038398,0.199719708,0.00492914,0.000532477,0.000532137,0.001412904,0.000924796
PDK1_pS241,0.000541286,0.000295935,0.160449625,0.098748167,0.000430093,0.007969639,0.00027462,0.007803519,0.00682527,0.000844096,0.002122513,0.001314906,0.00055541,0.000600966,0.000557304,0.000675608,0.00034901,0.000563484,0.00065724,0.000590082,0.00025916,0.000267763,0.00040394,0.399595665,0.001939607,0.000543208,0.019767467,0.000563682,0.003266866,0.002011317,0.001431416,0.003933568,0.000811183,0.000454961,0.000672202
PKC-alpha_pS657,0.000649964,0.000281932,0.000526999,0.00057592,0.00540759,0.000559574,0.000946676,0.002753043,0.190003333,0.001463347,0.007530085,0.00038612,0.000838761,0.001256691,0.00439148,0.000515877,0.000724358,0.001190785,0.000542238,0.001160144,0.001361811,0.000269425,0.000442251,0.001009494,0.000588594,0.038013184,0.001667146,0.000757304,0.000498985,0.000712591,0.000799524,0.002073962,0.000381898,0.000619414,0.002914207
PRAS40_pT246,0.000961029,0.000445907,0.000938627,0.00072165,0.000388625,0.010102551,0.000876851,0.000535513,0.00276773,0.007979528,0.000853811,0.000486595,0.000970122,0.000639696,0.000543128,0.003530509,0.000239099,0.000682315,0.016209592,0.000975167,0.001305974,0.00031364,0.009723961,0.001999915,0.000575471,0.00060136,0.001036269,0.003968166,0.006310431,0.005564009,0.001193651,0.000526708,0.000401951,0.000312364,0.000709334
Rb_pS807_S811,0.000663256,0.000513741,0.000647714,0.000592492,0.000429728,0.001043833,0.000333537,0.000874495,0.000541735,0.000632302,0.001145638,0.000726866,0.000714142,0.000550412,0.000708426,0.00080779,0.000286372,0.001831082,0.000563529,0.000854811,0.000703059,0.000281095,0.000438079,0.002788245,0.00076644,0.000657058,0.000660782,0.000576358,0.324367462,0.003295368,0.002313744,0.00077986,0.00056909,0.000335487,0.000771186
S6_pS235_S236,0.0006543,0.000487841,0.000542731,0.002484848,0.000448566,0.003194464,0.00071558,0.000553865,0.000721734,0.000568481,0.000528309,0.00249708,0.166490595,0.004072169,0.000473523,0.003056553,0.000836491,0.001527455,0.037058798,0.04406379,0.00024204,0.000376928,0.340833903,0.001686136,0.000637402,0.000537391,0.000893637,0.001654136,0.103268568,0.999414286,0.000852447,0.00116175,0.000990995,0.000292061,0.000653048
Src_pY416,0.000587098,0.000265183,0.000638226,0.000793682,0.324673182,0.000542306,0.000358423,0.000678148,0.181975323,0.000675296,0.15457882,0.000671093,0.000744739,0.023643745,0.168091169,0.000447974,0.000297907,0.000587968,0.000626763,0.000608854,0.000305143,0.000261404,0.000527402,0.001587643,0.00167007,0.562149311,0.000864869,0.005169526,0.001111345,0.001221851,0.002597742,0.010995882,0.109310044,0.002403688,0.639570052
Src_pY527,0.000682658,0.000381864,0.000560039,0.001108101,0.002127859,0.003160807,0.000414582,0.000570716,0.001185724,0.003371361,0.042547753,0.001456224,0.001012529,0.000904458,0.029649802,0.000440312,0.000237735,0.001899766,0.001296098,0.010368643,0.003191123,0.000267076,0.000422854,0.000720702,0.000613416,0.00148664,0.001952398,0.001241875,0.000633185,0.000670769,0.000653402,0.003220222,0.130502715,0.000283754,0.002671579
STAT3_pY705,0.000548072,0.000268379,0.000530579,0.000596544,0.000718653,0.00057473,0.000261573,0.000532227,0.000806116,0.015329639,0.001399986,0.000494546,0.001271711,0.000560214,0.000736757,0.000619616,0.000221241,0.000802869,0.000897844,0.001406296,0.0003609,0.000266492,0.000468687,0.000765432,0.002384236,0.000732274,0.000890643,0.003876466,0.000585761,0.000747017,0.000612976,0.000799101,0.225334236,0.000739612,0.023850147
YAP_pS127,0.000576966,0.000351597,0.000818112,0.00058275,0.000555676,0.00098136,0.000271785,0.000761215,0.008047179,0.003836797,0.001567722,0.000791636,0.000523957,0.000557319,0.000509922,0.00046668,0.000239404,0.000556125,0.002818251,0.000514571,0.000258239,0.000270931,0.000557767,0.000887751,0.000833757,0.000704836,0.00073894,0.002730549,0.0007253,0.002080155,0.000621986,0.000574683,0.000355648,0.003877568,0.000961556
YB-1_PS102,0.000892794,0.000518521,0.000832584,0.000956602,0.037892417,0.000708587,0.000281466,0.000531388,0.007362217,0.000871019,0.0355894,0.001263432,0.000502924,0.004708968,0.029577227,0.000650876,0.000250369,0.002833006,0.001476283,0.001025588,0.000247226,0.000377369,0.012012113,0.000691486,0.000825787,0.087542261,0.000872396,0.007238326,0.00180818,0.000542718,0.002117348,0.00645315,0.000561891,0.005389958,0.430553143
