,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.189474714,0.010675334,0.00089327,0.002512911,0.002020814,0.009705611,0.002543222,0.000512951,0.000498386,0.013894591,0.00084541,0.002202758,0.000512737,0.001744461,0.000631025,0.002772404,0.000463263,0.000558342,0.000737966,0.004599324,0.000263468,0.000409477,0.001476147,0.008461916,0.001338506,0.000821136,0.000420475,0.001851914,0.014044512,0.000449991,0.000607293,0.000563987,0.000683163,0.473052504,0.007812013
ACC_pS79,0.000629803,0.000526687,0.001099019,0.000765547,0.002301293,0.000840613,0.001637218,0.000682259,0.000524477,0.000883627,0.000761616,0.001855723,0.000300278,0.001001249,0.000756958,0.000350948,0.000412681,0.000249007,0.000399702,0.000961838,0.001495538,0.001624135,0.000762252,0.000778253,0.00096751,0.005638493,0.000340185,0.001547542,0.000434561,0.000723698,0.000360399,0.002477822,0.006336413,0.00102157,0.024312264
Akt_pS473,0.000313186,6.65E-05,0.449620818,0.007561484,0.000420966,0.219937881,0.025592497,2.31E-05,2.23E-05,0.000186542,0.002717054,0.000778646,2.33E-05,0.989192158,0.000108246,0.001883825,0.000452306,0.002274883,0.000170619,0.012019698,1.50E-05,5.20E-05,0.000499742,0.000638596,0.005951683,0.000141813,2.67E-05,0.897317342,0.042350338,0.000897855,8.61E-05,0.000546333,0.003715707,0.208356359,0.132426365
Akt_pT308,0.000199364,1.86E-05,0.001669206,0.991993333,0.000102979,0.001728094,0.121045785,2.24E-05,2.56E-05,0.00013988,0.001404493,0.000819581,1.21E-05,0.671542789,0.000113182,0.004656931,0.001264137,0.001117195,0.000207136,0.005040619,1.37E-05,3.83E-05,0.008878646,0.00032393,0.013637603,5.21E-05,2.46E-05,0.739010304,0.005066505,0.00109896,6.41E-05,0.000204932,0.010335071,0.051127164,0.005857683
AMPK_pT172,0.008857619,0.973150491,0.001164801,0.001084196,0.016300098,0.003303046,0.000777534,0.000417325,0.001375596,0.001182,0.0005754,0.001057859,0.001956894,0.033123613,0.002449095,0.000433008,0.00456246,0.018874519,0.242137416,0.001513705,0.000237796,0.00034409,0.001049789,0.000703384,0.000556362,0.000376425,0.00148831,0.006207458,0.012296813,0.00049973,0.004360014,0.000463456,0.001412801,0.000709262,0.001485289
Bad_pS112,0.001320418,0.000723984,0.000558885,0.001127585,0.000338091,0.438688845,0.146014238,0.001962191,0.000906991,0.00158172,0.000588791,0.004692664,0.004973271,0.001479014,0.000612893,0.000329675,0.983231879,0.996185249,0.000711408,0.676769197,0.000294407,0.000273389,0.00093655,0.000615586,0.000914004,0.000460314,0.000361446,0.000577596,0.000432002,0.002411765,0.00040699,0.000425088,0.001458298,0.00464927,0.016546032
c-Met_pY1235,0.000564148,0.001040732,0.000790406,0.0006873,0.000456628,0.005293879,0.001848478,0.014359409,0.00068203,0.029543107,0.010634673,0.00075129,0.00027935,0.000616627,0.001313199,0.115788135,0.000408932,0.000251914,0.000858361,0.004582744,0.000246196,0.000283161,0.003094229,0.000528614,0.001511373,0.011747833,0.149679315,0.000638078,0.00032539,0.000929166,0.249993565,0.168812579,0.001057806,0.001304026,0.016967097
c-Raf_pS338,0.000648282,0.012844734,0.000442891,0.000631655,0.000366013,0.000477131,0.001312481,0.123599837,0.000494893,0.000786432,0.063601376,0.000829013,0.000296698,0.001458209,0.030743146,0.000356539,0.001044192,0.300139679,0.000446972,0.000778537,0.000473733,0.000511376,0.017703994,0.000782691,0.001192024,0.000357784,0.007909289,0.001394929,0.000394336,0.003510641,0.000892987,0.000433974,0.000550394,0.000693739,0.002218233
Chk1_pS345,0.000612159,0.005076054,0.00046925,0.000840105,0.306047119,0.005963,0.498079355,0.00036732,0.999901262,0.000886693,0.001114997,0.003236514,0.000417519,0.003635626,0.001020213,0.000395035,0.033023135,0.153130677,0.012006023,0.001224281,0.000281702,0.000752238,0.013000942,0.176960653,0.005525003,0.003393623,0.008530799,0.002749321,0.001524394,0.001661651,0.004960019,0.001621549,0.001723354,0.007809182,0.112537476
Chk2_pT68,0.000708185,0.001042466,0.004010408,0.000748876,0.001724986,0.001414863,0.00151226,0.000529785,0.000512505,0.27378344,0.001503905,0.001206832,0.002794257,0.002487766,0.000528221,0.001472065,0.000403583,0.000239088,0.0004783,0.00097913,0.000421294,0.000305018,0.008876755,0.000702246,0.001645524,0.001008412,0.000438655,0.041635752,0.001199123,0.001067867,0.000640056,0.003355228,0.000678338,0.004739496,0.001241922
EGFR_pY1068,0.002276084,0.000669238,0.000470857,0.000959437,0.000383564,0.000615345,0.002975868,0.261257797,0.000566892,0.000638371,0.118968901,0.000734713,0.002835116,0.000493062,0.000627047,0.107775906,0.000746637,0.000489114,0.000541488,0.012432146,0.00026735,0.000270403,0.047128424,0.00057538,0.000634358,0.097758481,0.10686606,0.001653063,0.000352183,0.00288726,0.125010362,0.136366253,0.001241545,0.004864688,0.000929764
EGFR_pY1173,0.00188946,0.000798205,0.000481402,0.001034517,0.001246306,0.001078333,0.004906387,0.003565615,0.001754117,0.001395706,0.002475963,0.0075534,0.002893842,0.000600184,0.000958447,0.004635606,0.000412623,0.000187537,0.000697575,0.008293722,0.000245172,0.000301963,0.229243317,0.000543289,0.000847117,0.0279172,0.001008537,0.001455426,0.000502569,0.00452455,0.001233079,0.008659744,0.001099597,0.000923959,0.00066215
ER-alpha_pS118,0.000655889,0.001500094,0.000636342,0.000639112,0.000335491,0.000502118,0.000526974,0.003061649,0.000506486,0.000805977,0.006330393,0.00074263,0.095391532,0.00114154,0.000681,0.00043324,0.00055918,0.000120918,0.000702745,0.001533141,0.000307782,0.001441366,0.000595008,0.001146465,0.206981928,0.000355764,0.00062777,0.00104012,0.00035219,0.002474274,0.000480264,0.000447977,0.00150348,0.004021076,0.000466184
GSK3-alpha-beta_pS21_S9,0.000757435,0.000508794,0.002324941,0.000808365,0.003713426,0.00157345,0.015704558,0.000480439,0.000500895,0.0063004,0.017989908,0.000949859,0.000305229,0.01215415,0.01685924,0.000332584,0.002931729,0.000135943,0.132885431,0.005778795,0.000387122,0.000496412,0.000798302,0.0008286,0.014180372,0.002054717,0.000337428,0.00150421,0.00053119,0.000591014,0.000471715,0.006459139,0.024295579,0.002887444,0.023831477
HER2_pY1248,0.002065864,0.000517069,0.000502776,0.000922057,0.000381395,0.000620943,0.001239546,0.134835646,0.000920981,0.010586862,0.000617129,0.001692813,0.001358214,0.003211654,0.005826015,0.10919774,0.034268034,0.009473693,0.000466865,0.000718731,0.000269904,0.000313467,0.274308707,0.000699939,0.001226474,0.042642846,0.111309781,0.011449037,0.019964876,0.000754142,0.126203664,0.160672968,0.000995817,0.000590176,0.003016024
JNK_pT183_pT185,0.009967899,0.002654169,0.00064825,0.000781084,0.000329394,0.000554498,0.000859749,0.000599945,0.000806039,0.001451068,0.000760451,0.000720716,0.000734934,0.001843401,0.001202439,0.000356975,0.000531769,0.000125242,0.000686275,0.00079164,0.000381521,0.000722685,0.000617991,0.002025058,0.00052853,0.000465554,0.000475324,0.000709744,0.000354749,0.000582893,0.000805071,0.0003626,0.001251903,0.001078902,0.000517738
