,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.526203435,0.001786042,0.002153179,0.000626997,0.000259277,0.000759874,0.000237464,0.000848086,0.001608262,0.016748726,0.001016554,0.001757704,0.000457352,0.001198259,0.000935393,0.004361926,0.000229277,0.000638292,0.006167827,0.00389863,0.000244234,0.000544302,0.0888909,0.002910929,0.002823634,0.000515073,0.000758201,0.003311265,0.008805208,0.000887334,0.001178091,0.005016679,0.000490409,0.220514599,0.000368872
ACC_pS79,0.000687204,0.000500441,0.00284454,0.00275598,0.000346048,0.002755373,0.000346705,0.00066202,0.001225194,0.000624682,0.003690108,0.001277182,0.000611761,0.001404898,0.000494687,0.000584529,0.00041663,0.003961928,0.001293671,0.000889309,0.00034149,0.000273522,0.003432852,0.00102811,0.000552243,0.001022577,0.000335879,0.000595275,0.000695105,0.00090583,0.001521272,0.000435219,0.003420717,0.00064952,0.001960346
Akt_pS473,0.005653611,0.000187989,0.999317394,0.007485393,6.66E-05,0.15068924,4.84E-05,6.43E-05,3.13E-05,0.001197613,0.010770193,5.30E-05,0.015083608,0.92157058,0.000201574,0.005597203,0.000441334,6.54E-05,0.00016936,0.005947829,1.53E-05,1.33E-05,0.003555011,2.93E-05,0.000320507,0.001114092,0.00029591,0.673820182,0.000249644,0.000105846,0.001092329,0.001954536,0.172025601,0.080746405,7.23E-05
Akt_pT308,0.001740486,0.000158185,0.001473971,0.993397991,6.82E-05,0.004328752,5.22E-05,4.96E-05,2.93E-05,0.000398459,0.003316033,4.97E-05,0.00394645,0.526267267,0.00052862,0.002061379,0.000461762,6.02E-05,0.000116031,0.000748141,2.55E-05,3.25E-05,0.002567782,2.46E-05,0.000243244,0.00118518,0.000325666,0.380959807,4.62E-05,0.000187697,0.001034107,0.001350037,0.133808314,0.046198702,0.000755566
AMPK_pT172,0.006227582,0.09363419,0.001367429,0.003923563,0.00283349,0.000371259,0.000261238,0.000506574,0.00102504,0.000585327,0.000589351,0.000380659,0.000458538,0.000658849,0.000593626,0.000466295,0.000321284,0.000564105,0.102763554,0.002274247,0.000624069,0.000288151,0.000434252,0.000616261,0.000845953,0.001237012,0.000332122,0.000780998,0.005070763,0.000764739,0.001361694,0.000383827,0.000972596,0.000335186,0.000424309
Bad_pS112,0.001464606,0.008683811,0.000639095,0.00153771,0.000601141,0.668507131,0.000542738,0.027601093,0.0007012,0.000703229,0.060009443,0.656930904,0.002167121,0.000628547,0.000582916,0.000913934,0.977618599,0.958838194,0.290640945,0.063622322,0.000333028,0.000369331,0.009025199,0.00096653,0.000714972,0.00124943,0.000612842,0.008488981,0.000847039,0.000831196,0.000530225,0.028694643,0.002503462,0.001449673,0.000447563
c-Met_pY1235,0.010622842,0.000654437,0.000568594,0.001103821,0.000259317,0.000497735,0.000692044,0.023808101,0.000455031,0.001509244,0.000597532,0.000185482,0.001422549,0.000593563,0.000481892,0.167042953,0.001003958,0.013801262,0.000628975,0.000673027,0.000443692,0.001222142,0.001829703,0.000732895,0.000842956,0.010808112,0.107609694,0.001576203,0.00055813,0.000683889,0.171875164,0.131082313,0.000495412,0.000342382,0.000988939
c-Raf_pS338,0.001566101,0.000401123,0.000866569,0.001219211,0.000697149,0.00634961,0.000341348,0.685559546,0.0004993,0.000538236,0.000995973,0.000550442,0.000601964,0.001215157,0.0006077,0.001021494,0.000344517,0.115102343,0.002556009,0.01193698,0.000254527,0.000299527,0.001095108,0.0017264,0.000988812,0.000351699,0.000383973,0.001625896,0.001501695,0.000565611,0.002665151,0.000432806,0.003395996,0.000399914,0.000874445
Chk1_pS345,0.000930192,0.002896077,0.000638651,0.000810322,0.041138251,0.003673432,0.000236909,0.401984818,0.84036816,0.000557061,0.204127234,0.018254694,0.0005245,0.000803662,0.003402004,0.000947052,0.000290662,0.000551289,0.326240711,0.000691683,0.00024901,0.00034786,0.078223783,0.00075837,0.026349253,0.000656291,0.012186606,0.002570214,0.085404193,0.002053485,0.000629257,0.100188473,0.000631742,0.004587492,0.003135364
Chk2_pT68,0.000955689,0.000439111,0.000784786,0.001184547,0.000295596,0.000805254,0.000237321,0.006659007,0.005454299,0.809421315,0.001217591,0.0002268,0.000493675,0.000655892,0.001274172,0.002007068,0.000312664,0.000801033,0.002208723,0.046475336,0.000271532,0.00037407,0.062943286,0.000752408,0.001197247,0.000350418,0.001995337,0.000787674,0.005574325,0.000583388,0.000688782,0.005063181,0.000510568,0.000437475,0.00039393
EGFR_pY1068,0.000613973,0.000461222,0.000635072,0.000764145,0.007182394,0.000706704,0.000432879,0.160856133,0.00050715,0.002134723,0.528147804,0.018919689,0.000894112,0.000643925,0.000520611,0.651698679,0.000228352,0.000790105,0.001073343,0.067223575,0.000297674,0.000769641,0.078212892,0.000678431,0.000685143,0.106307848,0.104397473,0.012076008,0.004640446,0.001005669,0.984177106,0.136133127,0.237580044,0.00072348,0.054650385
EGFR_pY1173,0.00057182,0.002590682,0.000661647,0.000724649,0.00052091,0.000403393,0.000613699,0.006260454,0.000533491,0.000524699,0.001935508,0.000336058,0.001144616,0.000606472,0.000498869,0.014216365,0.000277619,0.000578833,0.000421228,0.093977707,0.000341005,0.000998561,0.392758301,0.001470576,0.000545837,0.027554227,0.000862342,0.000740498,0.002615544,0.000701057,0.001346415,0.000626663,0.006898589,0.000424168,0.000587749
ER-alpha_pS118,0.000735054,0.007643423,0.000989942,0.000634249,0.000258724,0.218687136,0.000263603,0.000651639,0.000832892,0.002222381,0.007186419,0.000443643,0.802646369,0.000758633,0.000559582,0.000454561,0.00038321,0.001184644,0.001575266,0.003329508,0.000243433,0.000276244,0.001893431,0.000554133,0.169553504,0.000496667,0.000866841,0.000663302,0.000572944,0.000633181,0.000563211,0.000876924,0.000572511,0.00041487,0.000366347
GSK3-alpha-beta_pS21_S9,0.003095763,0.003476312,0.000574434,0.000623206,0.000307239,0.376870844,0.000249658,0.000745006,0.00053034,0.00073475,0.011202565,0.000306223,0.001243027,0.000710276,0.000476856,0.000650101,0.000294239,0.000640727,0.065463926,0.006529567,0.000265494,0.000334819,0.002224553,0.000580552,0.000643333,0.000441934,0.000380742,0.001251035,0.000653849,0.000713028,0.001106133,0.000755054,0.000512327,0.000749857,0.000437387
HER2_pY1248,0.001180279,0.000308934,0.000595477,0.000755732,0.005508725,0.001622473,0.000238383,0.210302667,0.000488274,0.000927885,0.01611249,0.001438484,0.00045439,0.000711821,0.00168252,0.233186606,0.000280372,0.00053938,0.001026207,0.001205475,0.000276732,0.000280523,0.240789257,0.000749498,0.00085803,0.084280259,0.120644524,0.000599736,0.030975802,0.000678441,0.179230495,0.159447714,0.000587098,0.000830024,0.005160361
JNK_pT183_pT185,0.003529144,0.000383473,0.000607225,0.000982343,0.000256659,0.000658711,0.000246572,0.000857214,0.000675016,0.017022634,0.00070208,0.000543695,0.000587917,0.000679653,0.000836696,0.00087372,0.000552561,0.002344371,0.000899219,0.000556909,0.000447394,0.003631586,0.001325294,0.001891595,0.000832196,0.000413403,0.000394593,0.002032667,0.001437103,0.002191602,0.000610178,0.001674954,0.000706276,0.000541166,0.002076581
MAPK_pT202_Y204,0.000785936,0.00031979,0.000754001,0.000642219,0.001678452,0.106122966,0.000360637,0.018432879,0.000793479,0.00084707,0.331287687,0.234113142,0.000526666,0.001603531,0.874863949,0.034115836,0.689951463,0.972062589,0.300628046,0.00217112,0.000241085,0.000305722,0.001193672,0.000579235,0.999601679,0.005501458,0.000329319,0.000847002,0.006929446,0.001936482,0.000645726,0.022433748,0.003838752,0.001059562,0.001414972
MEK1_pS217_S221,0.000208918,9.47E-05,0.002885714,0.001401356,0.000272168,0.000436906,0.000691376,0.000197172,0.000100696,0.000186883,0.101488344,0.510146046,0.000119755,0.00386537,0.027650856,0.004153057,0.998153061,0.163231778,0.000191678,0.006170876,4.17E-05,8.24E-05,0.000207138,0.000109959,0.000438209,0.005784013,0.000289406,0.000602826,0.00015078,0.000635218,0.000158291,0.009066613,0.015824303,0.00026108,0.012544936
mTOR_pS2448,0.584057667,1.40E-05,0.935321342,0.720182204,3.71E-05,0.001847799,7.12E-06,0.000187069,0.000170104,0.237850332,9.84E-05,0.000244086,0.000188166,0.000111688,4.66E-05,0.000327611,2.58E-05,0.000106161,0.002284623,0.016213068,1.22E-05,0.018186231,0.006691967,0.075450307,0.00018778,2.63E-05,3.16E-05,0.013080266,0.00050462,6.02E-05,4.61E-05,0.001088793,5.24E-05,3.44E-05,1.71E-05
NF-kB-p65_pS536,0.000876335,0.034316963,0.000571041,0.000669119,0.000280913,0.001461946,0.000249663,0.065601402,0.0004564,0.003175911,0.00100845,0.003222898,0.00054926,0.000716172,0.000466134,0.000459794,0.01153011,0.015046681,0.019554215,0.310540622,0.00023758,0.000416765,0.000654208,0.000670464,0.002612587,0.000706378,0.000763297,0.003878473,0.000981793,0.001314753,0.000943961,0.000876948,0.000698349,0.003032733,0.000373391
p27_pT157,0.000620765,0.000353589,0.000577379,0.000622659,0.000271056,0.000392713,0.000238664,0.000510387,0.000912482,0.004757788,0.000846728,0.000182565,0.000542434,0.000631139,0.00046423,0.000507124,0.000229572,0.000937574,0.000400631,0.000533054,0.000285691,0.000733085,0.000417794,0.001029027,0.000699915,0.000440865,0.000338253,0.000554617,0.000644565,0.001037501,0.001065336,0.000350882,0.000515398,0.000335464,0.000484363
p27_pT198,0.000567125,0.000712665,0.000581953,0.000600951,0.00033699,0.064600105,0.000286556,0.000620364,0.003776625,0.000787931,0.003733473,0.000196578,0.001230516,0.000631991,0.000955446,0.000547353,0.000361328,0.001845481,0.000861161,0.030147087,0.000262802,0.000882804,0.000815256,0.000633764,0.000592659,0.000380477,0.000443786,0.000772946,0.00069106,0.000570919,0.000631211,0.000947576,0.000486244,0.000492018,0.000458251
p38_pT180_Y182,0.000952083,0.000304484,0.000611863,0.000775262,0.000354151,0.000815464,0.000547013,0.003615806,0.000642348,0.00059952,0.000925553,0.000255679,0.000470177,0.000600055,0.0004711,0.000835919,0.000325426,0.000909356,0.000967663,0.000745543,0.000258833,0.000268993,0.019502834,0.000847804,0.001583101,0.000452452,0.000427255,0.000670852,0.000892573,0.000584269,0.002361571,0.0008643,0.000606898,0.00067305,0.000389386
p70S6K_pT389,0.067198288,0.001498172,0.000782273,0.001393961,0.000283541,0.000775427,0.000238824,0.000793565,0.000610677,0.001095401,0.001374021,0.942711503,0.000516377,0.490469748,0.001024879,0.001228506,0.000250277,0.001514974,0.996053928,0.037209569,0.000341669,0.101499551,0.001939061,0.999958679,0.001847319,0.196122264,0.000538358,0.439545044,0.00196302,0.345176837,0.001236787,0.000791473,0.000529363,0.000779424,0.000368342
p90RSK_pT359_S363,0.002196522,0.000548675,0.001016506,0.000600496,0.002035732,0.892404652,0.000462489,0.003504397,0.000784783,0.000627694,0.001056036,0.000334918,0.000460858,0.011991337,0.000740715,0.00168536,0.000246561,0.000800791,0.038540166,0.005464453,0.000386325,0.000274997,0.000624824,0.000607688,0.001824491,0.001082259,0.000476404,0.000590185,0.156274292,0.214208436,0.000637796,0.01169787,0.000924738,0.000399674,0.000670701
PDK1_pS241,0.00100849,0.000496456,0.213492316,0.103174056,0.001642295,0.000710224,0.00036153,0.000663887,0.000522163,0.001557073,0.002960331,0.000285596,0.000497047,0.000804596,0.001521634,0.000604179,0.000596194,0.000781156,0.000748943,0.000530557,0.000620682,0.000367773,0.000624171,0.217453409,0.000649173,0.000724016,0.017616794,0.000862955,0.00433265,0.00055898,0.000620348,0.000402207,0.000606804,0.001677872,0.001115772
PKC-alpha_pS657,0.00404986,0.000627683,0.000877942,0.000786042,0.00077333,0.003518225,0.000333157,0.001831358,0.000597926,0.000630192,0.000787828,0.000868348,0.001708524,0.001359539,0.000546472,0.000805475,0.000863244,0.001668418,0.000757263,0.000767555,0.000376876,0.000549729,0.000662452,0.00070851,0.002258463,0.000434503,0.000418804,0.000624754,0.000580307,0.00054741,0.000967069,0.00045578,0.00119124,0.000377955,0.000987292
PRAS40_pT246,0.001278272,0.000734085,0.000966211,0.000643872,0.000301377,0.001162411,0.000243279,0.000747735,0.000828478,0.003084642,0.000656234,0.000561249,0.000488349,0.000633292,0.000789779,0.001631085,0.000231977,0.000547849,0.010688781,0.00117033,0.000334758,0.000473355,0.000560516,0.002159683,0.000851188,0.000385074,0.000442997,0.000799675,0.000779873,0.001715252,0.000556097,0.000629869,0.00064943,0.000501423,0.000414663
Rb_pS807_S811,0.000755935,0.00030899,0.001135148,0.001314085,0.000265441,0.00170054,0.000426116,0.001840298,0.000676279,0.000861087,0.001530805,0.00081974,0.001543217,0.000628531,0.000607875,0.00755558,0.000306881,0.000591875,0.001838306,0.000675501,0.000257565,0.000389009,0.004072058,0.00084838,0.000852472,0.00036466,0.000475428,0.000649408,0.905367119,0.000624994,0.000533447,0.002683133,0.000704328,0.00052109,0.001683105
S6_pS235_S236,0.009247293,0.001451777,0.000651538,0.00071809,0.000387779,0.000762183,0.000238571,0.001011582,0.000618724,0.000774798,0.003274785,0.004623241,0.000585623,0.00267637,0.001188427,0.001058004,0.000238393,0.001092147,0.057320972,0.341292508,0.000326587,0.000353602,0.279757454,0.000667382,0.001182974,0.00720191,0.000408817,0.002103555,0.001527988,0.989160642,0.00082,0.001058195,0.000529102,0.00059455,0.000430737
Src_pY416,0.000648347,0.000529486,0.000738735,0.000656368,0.000348414,0.00063627,0.000295205,0.000512656,0.00113638,0.004425631,0.000869529,0.000383964,0.001468542,0.000594638,0.000468886,0.000485757,0.000319584,0.000521621,0.00039858,0.003870393,0.000252497,0.000288162,0.000798072,0.000547965,0.000534834,0.000820223,0.000480411,0.01136044,0.000617537,0.004761959,0.000607205,0.000404739,0.16080152,0.000538593,0.001154561
Src_pY527,0.00067832,0.000608586,0.001201346,0.002559529,0.000412554,0.01159224,0.000316463,0.003073541,0.000473555,0.000619655,0.000799726,0.000860827,0.000754342,0.000649148,0.00052796,0.001623086,0.000258554,0.000916884,0.007853039,0.000838447,0.000237436,0.000339994,0.001459761,0.00080416,0.001974229,0.000569634,0.001255024,0.004467478,0.000609346,0.000581909,0.001502578,0.001531524,0.237016275,0.000392983,0.000368122
STAT3_pY705,0.001699524,0.000559313,0.000588976,0.002141524,0.000300084,0.00042056,0.000241727,0.000611038,0.00078527,0.001444898,0.000636363,0.000983958,0.000504171,0.000822847,0.000492786,0.000590847,0.00056763,0.001420672,0.000462357,0.000521898,0.001298266,0.000665533,0.001015726,0.000956843,0.000628794,0.000360118,0.000378163,0.001082057,0.00060806,0.000557902,0.001850965,0.000473943,0.543541806,0.000414069,0.000600358
YAP_pS127,0.001424384,0.000498912,0.000885238,0.000651611,0.000648565,0.002782459,0.000242178,0.000548856,0.00068379,0.002307381,0.007425536,0.004520969,0.000661952,0.00130932,0.00050395,0.000556652,0.00022883,0.000654162,0.00088716,0.000770059,0.000277418,0.000313719,0.000504942,0.000639389,0.000724773,0.000419914,0.000353074,0.0013254,0.000932987,0.000587226,0.00059222,0.000446526,0.001451466,0.0146447,0.003976866
YB-1_PS102,0.000627762,0.00032384,0.00060681,0.000989234,0.0005044,0.001732763,0.000781577,0.000595209,0.000682851,0.000958757,0.083731903,0.00354352,0.000820348,0.000660705,0.000571873,0.001052461,0.000341861,0.000884289,0.000576826,0.000803952,0.000399507,0.001502926,0.000480084,0.000622879,0.00052876,0.000578,0.000410582,0.000778842,0.00088565,0.000734673,0.001542071,0.000387342,0.001595642,0.001697899,0.378491746
