,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.109927301,0.003284978,0.000599552,0.000811822,0.019632456,0.00063692,0.00039816,0.000580892,0.000484566,0.001511402,0.000562834,0.01205902,0.000641544,0.000788724,0.010269278,0.000645348,0.008358281,0.010899462,0.002068724,0.014809226,0.000327573,0.000584919,0.004328784,0.00150452,0.000519677,0.001224549,0.002881312,0.000902898,0.002319634,0.02343865,0.001099555,0.000401704,0.001057651,0.180314204,0.00085155
ACC_pS79,0.002665354,0.002714615,0.000579004,0.001117288,0.022174763,0.000725655,0.001208884,0.001145268,0.000602975,0.003666539,0.001330184,0.000619429,0.074142906,0.001114742,0.000730294,0.007349588,0.000539977,0.001150357,0.000688229,0.010131895,0.000552138,0.000746975,0.010644347,0.002121435,0.001540704,0.001118332,0.000712717,0.002840535,0.005244564,0.000619033,0.000818363,0.002306811,0.002786076,0.005411662,0.001533005
Akt_pS473,0.000353061,0.000145711,0.999957137,0.006119283,0.068400349,0.138011537,9.19E-05,9.41E-05,0.000127083,0.001308835,0.000160121,0.003033566,0.000138304,0.951389079,0.005540368,0.000122466,0.002636045,0.00898052,0.000154924,0.003944722,8.64E-05,0.000394215,0.02341526,0.000206813,0.000107803,0.00028219,0.000443626,0.968627593,0.000960489,0.000362481,0.000359083,0.0001523,0.000219841,0.91320881,0.000280117
Akt_pT308,0.000213917,0.000142429,0.000725887,0.995009074,0.01893579,0.011263272,0.000129492,0.000127423,0.000115354,0.011702728,0.000897584,0.000192645,0.00121672,0.515667998,0.002029049,0.000313485,0.000377515,0.000372706,0.000143848,0.011719718,0.000431861,0.001662858,0.000746957,0.000194388,0.000109815,0.000338287,0.000215335,0.260060739,0.001866347,0.000152031,0.000207906,0.004284423,0.000417766,0.116760929,0.00036851
AMPK_pT172,0.000761732,0.999984447,0.000583845,0.001249321,0.014712716,0.002831196,0.000701414,0.000761762,0.000341519,0.001829385,0.001259703,0.001018036,0.004010525,0.000775947,0.000826393,0.003102696,0.017994119,0.052605787,0.139205315,0.001382313,0.000359606,0.000368573,0.000604626,0.000714777,0.006664073,0.000552091,0.001081591,0.000693964,0.253341632,0.001206807,0.001076822,0.000385748,0.017661953,0.002427412,0.000655087
Bad_pS112,0.002221957,0.001253932,0.000581205,0.000577688,0.21427792,0.924678048,0.001758003,0.00126338,0.000471664,0.008331514,0.007736917,0.000636194,0.012993023,0.00094203,0.002587415,0.003099598,0.224329651,0.459137154,0.000596718,0.172578527,0.000692689,0.006935436,0.000813223,0.006040575,0.002131374,0.008311927,0.004587542,0.006477778,0.01354573,0.013137233,0.008008461,0.002188408,0.08987007,0.013806385,0.192934438
c-Met_pY1235,0.00327102,0.003809229,0.00060293,0.000727573,0.00295099,0.000661981,0.007545301,0.04739464,0.002673658,0.000841567,0.006126053,0.000903403,0.000626737,0.000824839,0.000361929,0.417028587,0.000518693,0.000727824,0.000879298,0.000780997,0.001647994,0.004553918,0.020445041,0.001036717,0.000988277,0.014889322,0.534736059,0.00140533,0.001795619,0.001597652,0.302158308,0.137807594,0.00456839,0.001222501,0.004447734
c-Raf_pS338,0.000578846,0.00101022,0.000715985,0.000644725,0.00076906,0.000683638,0.000319504,0.174811934,0.000650833,0.000576156,0.000575107,0.000666093,0.000553095,0.003972426,0.000442778,0.000611314,0.000529215,0.0992131,0.000575199,0.000530896,0.000276078,0.000325992,0.000626191,0.000627002,0.000457548,0.000367201,0.000575699,0.000739724,0.000740324,0.000582659,0.000603767,0.000368776,0.000448048,0.000764908,0.000765482
Chk1_pS345,0.003874828,0.000968233,0.000608778,0.000703248,0.033289785,0.000606717,0.019102358,0.002295726,0.142978031,0.000623582,0.004936248,0.000569449,0.002426511,0.000766722,0.000361135,0.001250117,0.000764706,0.000501053,0.000567223,0.000551321,0.0022385,0.002120359,0.035621377,0.000692636,0.005774922,0.000878318,0.001351835,0.005031734,0.002202574,0.000563812,0.005586058,0.000375048,0.001859486,0.004066272,0.001624217
Chk2_pT68,0.005479675,0.000909145,0.000683459,0.00127173,0.004282763,0.001017619,0.000365691,0.000508118,0.000433723,0.996875968,0.000925909,0.001127104,0.000614961,0.000724699,0.003134902,0.000791053,0.000522454,0.001326579,0.000577224,0.000743115,0.014106251,0.011476854,0.009146888,0.000738023,0.000484209,0.001231336,0.000664473,0.000683358,0.000911352,0.000579809,0.000647551,0.00070904,0.000782516,0.000858766,0.00062043
