,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.375661472,0.011147468,0.02004831,0.001410813,0.00046555,0.005032182,0.000848045,0.000592211,0.000479466,0.001821603,0.001315741,0.001396555,0.002584767,0.00106307,0.001056181,0.000873026,2.15E-05,0.000274276,0.006160036,0.000706456,0.000367317,0.001717798,0.001553336,0.000888535,0.001014661,0.000727478,0.001324126,0.005338893,0.000641682,0.000611277,8.53E-05,0.000526374,0.000731828,0.18578862,0.003100768
ACC_pS79,0.000786711,0.001540599,0.000752977,0.000749429,0.000752789,0.001414599,0.000758547,0.000999256,0.005394589,0.005697855,0.001867155,0.001527054,0.002370678,0.000612856,0.001120042,0.000640652,2.80E-05,0.000416036,0.003485773,0.004021059,0.002768006,0.001428525,0.000990706,0.001574112,0.000519271,0.000377859,0.000414842,0.00373136,0.033820155,0.000673241,0.000136641,0.00048288,0.000687684,0.002482467,0.012183261
Akt_pS473,0.000405851,0.008498531,0.979433351,0.007364485,9.07E-05,0.274345065,0.001012176,0.000174148,0.002011369,0.000381174,0.007487718,0.005981353,0.024941668,0.771836872,0.002603713,0.000284282,5.70E-06,8.87E-05,0.000285144,0.000175313,0.000586204,0.0010668,0.000682311,0.000154108,0.000297756,0.000108206,0.000144971,0.282240084,0.001432644,0.000137335,9.59E-05,0.000149576,0.001568009,0.34421261,0.000487676
Akt_pT308,0.000368672,0.023639465,0.001580608,0.993829687,8.42E-05,0.016637525,0.000254307,0.001406182,0.001171675,0.000290801,0.008224738,0.005123766,0.000532238,0.381003408,0.001720325,0.000124261,9.21E-06,9.98E-05,0.012940256,0.00015768,0.000296235,0.000876397,0.000280176,0.000152781,0.000229173,0.000136089,0.000154763,0.182317282,0.002045181,0.000586267,8.41E-05,0.000248722,0.001347946,0.17863527,0.001255497
AMPK_pT172,0.001005636,0.607082667,0.000631758,0.000708024,0.003351015,0.129071231,0.000491771,0.000765977,0.000538763,0.001444435,0.0010614,0.001283633,0.000582576,0.000626433,0.001109424,0.001336311,3.25E-05,0.001168337,0.151466043,0.001374787,0.000270568,0.000622331,0.000842055,0.000701609,0.00049139,0.000480975,0.000539245,0.001307852,0.000984438,0.001095069,8.61E-05,0.00051538,0.000734351,0.055667108,0.000547465
Bad_pS112,0.001527434,0.000959534,0.001511689,0.000735827,0.000335487,0.250340278,0.000366795,0.001807846,0.000894851,0.005849244,0.000864102,0.000594718,0.002333526,0.000691257,0.000656169,0.006044335,0.013349794,0.362328715,0.00688094,0.155398532,0.000285646,0.000900299,0.009933274,0.000594557,0.000540284,0.000474943,0.000438188,0.000762621,0.000955263,0.001079894,8.46E-05,0.000739106,0.002579654,0.000589929,0.115804934
c-Met_pY1235,0.001248672,0.001225778,0.000773104,0.000687386,0.001255331,0.000930741,0.005383565,0.025444857,0.007459427,0.001035216,0.032658862,0.067474231,0.000981239,0.000712635,0.022186106,0.372637843,2.44E-05,0.000591177,0.001822828,0.004207673,0.003296027,0.000533789,0.003336515,0.00065122,0.000646386,0.012709658,0.151061603,0.000933227,0.013054764,0.00061456,0.876171024,0.171895214,0.004952027,0.000614437,0.000806318
c-Raf_pS338,0.001980119,0.001888859,0.001187419,0.00278272,0.00051931,0.003164492,0.000362066,0.190177236,0.001885635,0.000984219,0.001078595,0.001057802,0.000974201,0.000636337,0.001505407,0.000879956,0.001506956,0.449679241,0.020091691,0.001242348,0.000269179,0.000540374,0.000769098,0.00058182,0.001719545,0.000422231,0.000755648,0.001781906,0.000653081,0.003376075,0.000123252,0.000627504,0.010934864,0.001165998,0.002637479
Chk1_pS345,0.000658865,0.001129198,0.001208281,0.000830762,0.08552666,0.015931938,0.002124086,0.002978215,0.374933835,0.039126459,0.233888765,0.055480738,0.00069093,0.000615149,0.615794019,0.008321156,0.003155742,0.364400952,0.000605575,0.000750091,0.00280414,0.000501754,0.009190878,0.00062881,0.002387005,0.000382798,0.000563847,0.00068185,0.00256614,0.000593475,0.000361489,0.000648256,0.006052925,0.00183828,0.002228577
Chk2_pT68,0.002864328,0.000694251,0.001000171,0.001674461,0.003038859,0.008081144,0.002585139,0.001704989,0.000592893,0.908425937,0.128945746,0.194132716,0.00055449,0.000905772,0.055252826,0.00067763,4.43E-05,0.001052954,0.000891021,0.001371291,0.000353619,0.001482014,0.021602887,0.000894267,0.003758973,0.00052702,0.004649836,0.003595875,0.00080165,0.000615842,0.008811945,0.000523222,0.004337414,0.001050915,0.001372589
