,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.474613843,0.006254415,0.000704547,0.002589441,0.000809465,0.001164886,0.000368713,0.000740502,0.000607472,0.000820188,0.018000394,0.000831461,0.000667361,0.001354954,0.000354,0.005679546,0.001246079,0.000567151,0.000828746,0.000646488,0.000289495,0.001814331,0.009443843,0.000695756,0.003142748,0.000745971,0.001139775,0.006530701,0.00091507,0.001033971,0.000904286,0.00060288,0.000716221,0.199130676,0.001444158
ACC_pS79,0.001123864,0.002441477,0.00068877,0.00140213,0.004583858,0.001596818,0.000285179,0.003093963,0.000631151,0.0026629,0.003204092,0.000380536,0.000794705,0.000683178,0.000350978,0.000580555,0.000831113,0.000739136,0.001041688,0.019353528,0.000260045,0.000615556,0.000692775,0.000596598,0.000938454,0.000549537,0.006176659,0.000595226,0.001013436,0.000669164,0.001474601,0.00081427,0.003413253,0.001074538,0.002653309
Akt_pS473,0.0279298,0.000317406,0.560477734,0.006717316,0.003504842,0.050295473,0.00015784,0.000296433,0.00087781,0.000562892,0.000234219,0.000206462,0.017517227,0.812454198,5.99E-05,0.000324499,0.000212196,0.000138166,0.000528921,0.000116419,9.80E-05,0.000243748,0.002095595,0.000112328,0.009429601,0.000192316,0.001720157,0.235246198,0.001737529,0.000203975,0.000160117,0.000785043,0.000313495,0.475903357,0.000331145
Akt_pT308,0.005992443,0.000311601,0.002153319,0.987848385,0.002429977,0.001375696,0.001048071,0.000872561,0.001016255,0.001445839,9.46E-05,0.000110875,0.001419618,0.363479123,5.87E-05,0.00012556,0.000379417,0.000138767,0.000317598,0.000125378,0.000118432,0.000103204,0.013876004,0.000117298,0.000367958,0.000191698,0.001928268,0.104168013,0.001264663,0.000210777,0.000389265,0.00092011,0.000144947,0.253849454,0.00046588
AMPK_pT172,0.0006978,0.461310381,0.000591524,0.000688216,0.019052424,0.000810055,0.000554989,0.098987501,0.000715041,0.001162529,0.000857976,0.000441927,0.002590332,0.000720155,0.000404436,0.000902903,0.000576623,0.000706412,0.14555162,0.007833119,0.000259432,0.000843793,0.001961984,0.000610135,0.000843168,0.00054004,0.011416162,0.000574957,0.000705164,0.000633177,0.000729266,0.0007549,0.011005747,0.000909265,0.001815223
Bad_pS112,0.018058606,0.002285266,0.000874212,0.000586828,0.001252354,0.162313958,0.000282826,0.00146697,0.000754672,0.002490155,0.00090916,0.000385726,0.003130353,0.000916242,0.000335557,0.000710499,0.981656348,0.984030169,0.000725167,0.046518199,0.000343655,0.001896506,0.000574607,0.000595093,0.00061779,0.000659077,0.000612658,0.000583722,0.016556487,0.000584916,0.00216346,0.001874165,0.001050485,0.000950438,0.001134749
c-Met_pY1235,0.042174484,0.001755046,0.000646624,0.000804094,0.00072235,0.001242682,0.003984831,0.054970434,0.008432585,0.001726395,0.001317665,0.010120724,0.000874101,0.00134363,0.000783738,0.355878665,0.000584931,0.000878385,0.000783017,0.006469741,0.000777385,0.003106889,0.004089812,0.000672177,0.003385749,0.067237491,0.378117129,0.000493672,0.000880362,0.000741526,0.197033903,0.20409898,0.00061442,0.000891914,0.001307986
c-Raf_pS338,0.012529993,0.002663234,0.001430087,0.000639812,0.002857222,0.000397425,0.001312655,0.236921897,0.003386692,0.005976389,0.002033276,0.000529323,0.000596674,0.000668649,0.000958146,0.00051843,0.002625192,0.259765813,0.00209911,0.001263942,0.000262082,0.000538172,0.000749423,0.000605098,0.000677949,0.000707848,0.000799025,0.003242555,0.001041761,0.000729524,0.000572736,0.000695581,0.000686822,0.000944685,0.000722072
Chk1_pS345,0.000762474,0.173208248,0.000591724,0.001001711,0.80523424,0.000499901,0.002206411,0.002025545,0.918094879,0.000608589,0.00088444,0.000476983,0.002462126,0.00085973,0.000538718,0.001091624,0.000588517,0.000715718,0.00228248,0.000597158,0.000319454,0.000652613,0.001595724,0.000996086,0.001329379,0.000467161,0.022109655,0.000652354,0.000782118,0.000690298,0.006395536,0.004465798,0.000795108,0.006961198,0.021825036
Chk2_pT68,0.001178188,0.575201923,0.001458398,0.001220254,0.037548072,0.000541961,0.000401471,0.000623723,0.025498686,0.999666125,0.000512698,0.000442977,0.009231251,0.001416567,0.001052235,0.013517655,0.000599344,0.00351939,0.214416524,0.003806534,0.000563181,0.011192963,0.042134504,0.001001643,0.002571275,0.000520153,0.066803714,0.003275396,0.001340655,0.001373836,0.002508002,0.001056399,0.000693311,0.339311613,0.00134441
EGFR_pY1068,0.00247577,0.001143948,0.001751856,0.000756211,0.001244581,0.001062693,0.002943359,0.186698741,0.000644313,0.006168624,0.115999759,0.000462981,0.000702765,0.00071488,0.000334321,0.173686326,0.006230945,0.001063413,0.000696527,0.002981278,0.000261873,0.000566899,0.046398735,0.000940677,0.001672762,0.35213083,0.200335818,0.001157405,0.001270658,0.000662502,0.221089361,0.501313139,0.000647198,0.000835602,0.000657699
EGFR_pY1173,0.000703741,0.001080549,0.00052192,0.000881227,0.000671904,0.000568329,0.000269251,0.001552159,0.000583439,0.000662693,0.000425956,0.000412638,0.000990158,0.000847741,0.000438287,0.021538087,0.00068472,0.000476414,0.000640966,0.000638536,0.00088347,0.000855721,0.213527752,0.000848887,0.000585261,0.042344247,0.002561495,0.000645522,0.000757565,0.000684666,0.00133008,0.000872656,0.000676441,0.000762023,0.000587134
ER-alpha_pS118,0.000607255,0.002934836,0.001179218,0.001205259,0.001645638,0.000577064,0.000916885,0.007312477,0.001858817,0.000775496,0.002133705,0.003617994,0.606297025,0.001033204,0.000365478,0.006566809,0.000646105,0.001298702,0.000769685,0.000713123,0.00028478,0.000710403,0.000896786,0.001054565,0.926476537,0.000837617,0.007294602,0.001610123,0.000784604,0.000643765,0.000805289,0.001434774,0.002057885,0.027955227,0.01324929
GSK3-alpha-beta_pS21_S9,0.000778199,0.000978364,0.000813757,0.00239104,0.004512677,0.000839445,0.000429328,0.00139697,0.001016775,0.001294489,0.000421189,0.000526332,0.007282991,0.001081865,0.000324083,0.000643605,0.000636094,0.000614005,0.133261861,0.000583522,0.000404104,0.000561525,0.016509722,0.000594097,0.0080155,0.000501427,0.001265283,0.000529574,0.003185391,0.000793569,0.001259254,0.002714328,0.001405544,0.005228013,0.005342009
HER2_pY1248,0.000704602,0.036369653,0.010107041,0.009144662,0.032188973,0.000432394,0.000347812,0.705040524,0.001077587,0.000580096,0.001198061,0.000630517,0.003625983,0.001246249,0.000808534,0.270541191,0.000616643,0.000743861,0.00064764,0.000602014,0.000596398,0.000535278,0.149027163,0.000868683,0.001183349,0.02776537,0.84886862,0.002672534,0.027797881,0.000651749,0.523455407,0.377620528,0.000683222,0.001000264,0.000972963
JNK_pT183_pT185,0.000637533,0.010254392,0.002569475,0.000874005,0.00091494,0.000591501,0.000331471,0.000781068,0.001187555,0.000763859,0.002098412,0.001047399,0.000993644,0.000846682,0.000860176,0.046222179,0.000579343,0.000559049,0.004314488,0.000570281,0.000302404,0.000624192,0.008293665,0.002022611,0.000629109,0.000923877,0.000891716,0.001134325,0.004871975,0.000600627,0.001252297,0.000580966,0.00578536,0.001063127,0.000734999
MAPK_pT202_Y204,0.002869095,0.003368329,0.000729447,0.00065491,0.000623915,0.12300007,0.000286528,0.061411882,0.000606278,0.000632527,0.198363017,0.04472924,0.000873127,0.001183765,0.204030959,0.005017047,0.994040364,0.994043554,0.17638931,0.000607002,0.00039412,0.001525229,0.000614238,0.000655038,0.192942949,0.000513615,0.000680342,0.001209087,0.046885498,0.000585672,0.000944071,0.000521468,0.004458993,0.000763416,0.000561292
MEK1_pS217_S221,0.000927161,0.002284038,0.000554201,0.00060013,0.000723456,0.001106169,0.000476444,0.012684955,0.000804903,0.001778201,0.090329321,0.09594287,0.000666517,0.001120298,0.005099316,0.00200735,0.271300011,0.143444299,0.000663853,0.000605198,0.000588736,0.001570741,0.000592363,0.000600807,0.000714505,0.000530768,0.001115696,0.001067998,0.008477402,0.000626368,0.000728004,0.000537083,0.003746359,0.00116259,0.01478936
mTOR_pS2448,0.630851429,0.000748909,0.995535503,0.122485818,0.001583048,5.06E-05,4.39E-05,0.000301308,0.001779423,0.00036116,0.000594986,3.12E-05,0.000149101,0.000227177,3.57E-05,0.016833043,2.32E-05,3.74E-05,0.001028039,0.000276342,1.43E-05,0.000284399,0.846322186,0.048755567,0.000365039,0.000127291,0.004021702,0.019792498,0.000238378,9.24E-05,0.000202505,4.07E-05,0.001049504,0.307265176,0.000471867
NF-kB-p65_pS536,0.000764401,0.026446675,0.000772189,0.001017987,0.008585941,0.000530115,0.002299015,0.001577583,0.061603551,0.002052482,0.000619977,0.000587859,0.004354781,0.000655664,0.002626254,0.023793839,0.000644439,0.000608325,0.001784225,0.999918178,0.000290152,0.00066468,0.013046519,0.00136473,0.001569228,0.001042096,0.004433675,0.001061797,0.002923818,0.000628309,0.0072374,0.000820446,0.000759437,0.004940472,0.001044485
p27_pT157,0.001123205,0.000831421,0.000561266,0.002184086,0.001462469,0.000595599,0.000406105,0.000595333,0.000808965,0.000647063,0.000514827,0.000419118,0.000604965,0.000869549,0.00035232,0.00051442,0.000983224,0.00060499,0.003096608,0.003685833,0.000655699,0.001968839,0.001323508,0.000594384,0.002377746,0.00046651,0.000968313,0.001408759,0.000972184,0.000973253,0.000823871,0.000527691,0.001006008,0.000699222,0.001113018
p27_pT198,0.003325388,0.002573482,0.000642777,0.004309229,0.001242881,0.000922057,0.000269475,0.000584033,0.000806065,0.000630739,0.001012184,0.000473325,0.000696195,0.001310448,0.000494064,0.001269092,0.002047105,0.001024976,0.045921956,0.001057845,0.000520407,0.005398085,0.001177344,0.000605051,0.000792784,0.001159339,0.001398516,0.01114583,0.000725607,0.000883599,0.00092988,0.00070762,0.000667364,0.001283749,0.003593728
