,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.105299909,0.002022785,0.000642414,0.001166324,0.000327606,0.004488757,0.004755037,0.001040304,0.000885504,0.000591107,0.000455274,0.002068582,0.002783018,0.000854611,0.001922222,0.00063702,0.000601224,0.001295094,0.001609281,0.002393827,0.000275108,0.000995805,0.003738725,0.000631164,0.000746867,0.004502448,0.003855625,0.000870419,0.000493039,0.000631134,0.007641888,0.000634217,0.000320006,0.122892338,0.00190779
ACC_pS79,0.000602345,0.001975481,0.000580875,0.001854959,0.000357057,0.000690672,0.002712936,0.001244204,0.021347084,0.025770012,0.006823156,0.001027531,0.000490516,0.000740252,0.001291218,0.000841305,0.00327607,0.02590622,0.00136484,0.001524104,0.000265571,0.000573435,0.003625212,0.000836199,0.000921807,0.000436313,0.000795735,0.000419305,0.000807572,0.00062866,0.001161467,0.000989284,0.592937938,0.000422437,0.00058562
Akt_pS473,0.000119345,0.000472607,0.9992236,0.009837373,0.000481072,0.410994426,0.009587705,0.000208178,0.00026406,0.000159348,0.000223637,0.000579908,0.006836691,0.720309995,0.011499558,0.00024251,0.000210485,0.001734314,0.000281614,0.056864733,0.000130671,0.00025615,0.000210521,0.000209819,0.000274207,0.000408519,0.014367012,0.504059483,0.00026706,0.000113439,0.029761906,0.000631119,0.001302492,0.211376768,0.000569396
Akt_pT308,0.000106507,0.000578946,0.000666445,0.992191956,0.000343895,0.002472049,0.002875698,0.000342844,0.00026976,0.000882873,0.000332544,0.000255597,0.003744524,0.557202531,0.012093798,0.000150774,0.000231441,0.005504198,0.000206955,0.124922888,0.000445424,0.000146118,0.000289821,0.000225526,0.000317685,0.000371835,0.007917648,0.725547454,0.000497887,0.000112792,0.002858955,0.00058746,0.001672068,0.202808034,0.000216899
AMPK_pT172,0.001041532,0.641866073,0.000581674,0.000678202,0.026663462,0.000596741,0.004760284,0.00125256,0.001230722,0.010365959,0.415080936,0.001306285,0.000389945,0.000669083,0.000907099,0.00113976,0.000579517,0.000697989,0.177136992,0.00094003,0.000309789,0.000954584,0.000361931,0.000866886,0.001880096,0.000604602,0.00108872,0.000450323,0.000851441,0.000691554,0.014592086,0.862680596,0.001510872,0.000490696,0.000815931
Bad_pS112,0.001114549,0.001013574,0.000692708,0.000839143,0.000472045,0.636779907,0.000761544,0.000773688,0.000802521,0.004538024,0.000559398,0.002615646,0.00350903,0.001030568,0.111426456,0.000674253,0.249767391,0.245429065,0.00060568,0.024820274,0.000321024,0.001264951,0.000715913,0.001176442,0.000813868,0.000522056,0.001062376,0.000357282,0.00050906,0.000600676,0.000724146,0.000619805,0.000303011,0.000463824,0.000590812
c-Met_pY1235,0.000570242,0.001234527,0.000577032,0.000614562,0.00070759,0.000738704,0.161176192,0.149083378,0.001639449,0.000558209,0.005632479,0.004091515,0.013666952,0.0011068,0.282272824,0.989554384,0.003933605,0.00123223,0.001158381,0.001053552,0.000373593,0.001111595,0.005802333,0.000750264,0.629116395,0.01378867,0.347968846,0.000465442,0.00148206,0.00073832,0.267380047,0.437237074,0.005789855,0.000430145,0.000616639
c-Raf_pS338,0.000616101,0.001161368,0.000893768,0.000576767,0.000311793,0.00150387,0.001009264,0.720321552,0.000806351,0.001616027,0.001244537,0.000896763,0.001380571,0.000655984,0.005445998,0.002098055,0.022908867,0.107802914,0.000614505,0.002572219,0.000404515,0.000585852,0.000685507,0.000598201,0.003549833,0.000478844,0.000846334,0.000506613,0.002446293,0.000769795,0.000534051,0.000989148,0.000426541,0.000446093,0.000753727
Chk1_pS345,0.000722334,0.000489484,0.000580451,0.000691442,0.026556251,0.000709843,0.001282024,0.00065062,0.999188126,0.00315485,0.000823484,0.002796599,0.002053584,0.003081215,0.01693345,0.000601391,0.000669357,0.011180232,0.000589409,0.001120984,0.003512979,0.001538467,0.000795941,0.000697337,0.001505587,0.000529568,0.000827676,0.000780188,0.00115971,0.000704529,0.001581677,0.001161206,0.000485289,0.000553589,0.000597468
Chk2_pT68,0.000678302,0.000764397,0.000793911,0.003197893,0.001341839,0.000866099,0.014794739,0.001567971,0.001393553,0.999733643,0.000831609,0.20959401,0.000573717,0.008331096,0.008615811,0.0005953,0.000716619,0.000676872,0.000970288,0.010501995,0.000267793,0.005536274,0.897909946,0.000875288,0.002891491,0.001287318,0.001070132,0.001495388,0.000619664,0.00252988,0.000753305,0.000600999,0.000543973,0.000479058,0.00066291
