,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.555529319,0.027512456,0.000833431,0.000683649,0.000327764,0.001230216,0.01129829,0.000514517,0.000760425,0.000442135,0.000578885,0.001183924,0.00179229,0.00104973,0.00043728,0.001343656,0.000805197,0.001411166,0.00338599,0.000583835,0.000466321,0.00190659,0.000859818,0.000624142,0.000713847,0.035964811,0.001786564,0.076038023,0.003098405,0.00297109,0.089450272,0.000346064,0.015956853,0.692364745,0.007882476
ACC_pS79,0.068167008,0.000399439,0.00062903,0.00083633,0.000324617,0.000325401,0.000279645,0.001430502,0.003381883,0.00047879,0.000696825,0.000491305,0.001416971,0.000543038,0.000332373,0.000870496,0.00063942,0.000663714,0.002730835,0.000335245,0.000548462,0.000666958,0.000494963,0.000714978,0.0012727,0.000510075,0.000914926,0.001089238,0.000768511,0.001510616,0.000505345,0.001278006,0.000699685,0.001503587,0.000904767
Akt_pS473,0.00050924,7.11E-05,0.999958129,0.008289623,1.02E-05,0.019871867,8.26E-05,9.31E-05,0.000244572,0.001216964,1.85E-05,0.000554369,0.000687268,0.067985286,3.70E-05,0.000476939,0.000306619,0.000340537,1.92E-05,0.000625078,0.012066468,0.000312766,0.000221409,5.22E-05,0.000195701,0.000259891,1.75E-05,0.11177533,0.001017545,2.69E-05,0.001168247,3.77E-05,0.00410419,0.450351398,0.000322211
Akt_pT308,0.000324211,4.18E-05,0.000927289,0.992978048,1.40E-05,0.00052243,6.87E-05,0.000217026,0.001113628,0.001551777,2.08E-05,0.000609512,0.001461678,0.071826305,3.33E-05,0.000218951,0.000150851,0.00014999,9.78E-05,0.002279332,0.018788348,0.002051021,0.00017655,4.56E-05,0.000109199,0.000206198,1.06E-05,0.321484304,0.000635888,3.43E-05,0.000215107,4.09E-05,0.002548471,0.314853366,5.48E-05
AMPK_pT172,0.002656423,0.293770155,0.000546713,0.000563697,0.013030723,0.000145327,0.00106255,0.156093817,0.000693178,0.000441112,0.000402072,0.00069158,0.002683748,0.00061485,0.000364602,0.0005428,0.00043525,0.000871904,0.171737554,0.004162182,0.001356281,0.000335041,0.003760911,0.00150586,0.000663681,0.000496991,0.029232528,0.001027502,0.000755349,0.000615403,0.000411892,0.000907687,0.001714759,0.000556559,0.001835957
Bad_pS112,0.002293391,0.006445689,0.000558107,0.001074635,0.00030199,0.87455914,0.010403803,0.000490734,0.001000115,0.000560325,0.000448196,0.001186922,0.002538767,0.000531297,0.000424525,0.001474034,0.522549625,0.540614664,0.000947131,0.010542041,0.000365448,0.000333911,0.000739111,0.001243251,0.002693561,0.00181253,0.001285895,0.000659512,0.001639898,0.000816544,0.009980023,0.000361625,0.002311901,0.005407827,0.001497232
c-Met_pY1235,0.000939749,0.001165718,0.00142504,0.0005392,0.000259445,9.08E-05,0.000876171,0.057725434,0.000738253,0.000404765,0.000265128,0.000528409,0.00034693,0.000507251,0.000463941,0.345243678,0.000505037,0.000556423,0.000782062,0.000726926,0.000359654,0.000325255,0.004138307,0.00082505,0.000767306,0.017760347,0.12835563,0.000599373,0.001671997,0.000603255,0.252255456,0.107972054,0.001004271,0.00077794,0.000833418
c-Raf_pS338,0.00092143,0.000432171,0.000554162,0.000829414,0.000323296,8.58E-05,0.000365301,0.968593008,0.006462255,0.001369022,0.000292926,0.0195683,0.001862046,0.001535105,0.026619468,0.00770097,0.000499671,0.11964979,0.000729961,0.000411653,0.066807285,0.002849398,0.0005596,0.00310024,0.001322874,0.000746768,0.000517271,0.122074534,0.004276544,0.000573575,0.000501182,0.000342032,0.000503054,0.023962216,0.000590427
Chk1_pS345,0.000732792,0.000341866,0.001460566,0.000532227,0.027035565,0.000252224,0.000271207,0.000622425,0.667332513,0.000566139,0.000276373,0.001303823,0.001262602,0.000607491,0.000979804,0.003286814,0.000512914,0.001621567,0.000535792,0.00044272,0.006771621,0.000298979,0.000555589,0.004991215,0.000755495,0.000776594,0.000476975,0.003020188,0.0008432,0.000609013,0.000439855,0.000368684,0.001137706,0.002276761,0.000610998
Chk2_pT68,0.383427544,0.00038287,0.000556962,0.000894805,0.000291976,0.000414341,0.000293728,0.000717803,0.000824105,0.427556776,0.000888657,0.000425152,0.039959742,0.000704534,0.000455685,0.001158101,0.0005075,0.000621965,0.000566756,0.000557562,0.005430925,0.001123703,0.010579308,0.000660995,0.002095912,0.00084293,0.000768118,0.001016259,0.000677485,0.000840664,0.000454324,0.000342772,0.000638296,0.002172583,0.001058566
