,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.419095093,0.397242777,0.000829222,0.000511313,0.000717406,0.000984448,0.002712966,0.000208648,0.004525321,0.000357176,0.000415355,0.008094543,0.012801693,0.000585153,0.003719431,0.000884118,0.000747472,0.000929677,0.000461581,0.000826942,0.006986276,0.002495802,0.00106482,0.001890541,0.009666906,0.000362355,0.000350932,0.003533108,0.000617492,0.000678756,0.06568291,0.000465323,0.000884325,0.617130657,0.000751437
ACC_pS79,0.000970655,0.00125251,0.000665304,0.000530216,0.000736915,0.000678941,0.000419605,0.000159076,0.000531761,0.000395984,0.00143539,0.000631484,0.00148116,0.001049499,0.001168383,0.000680153,0.000766879,0.000296638,0.000465587,0.001017906,0.00056248,0.000468493,0.000513531,0.000555809,0.000451121,0.000456065,0.001214737,0.001387387,0.000567151,0.000577734,0.000777326,0.000329589,0.000391571,0.000496667,0.000489983
Akt_pS473,0.01505564,0.040308483,0.999941098,0.004872819,6.29E-05,0.185574834,0.000631455,0.000231557,0.02366191,2.94E-05,0.004638455,0.000872321,0.005045903,0.964302296,0.001416302,0.012140982,0.000103933,0.020992633,0.001107265,4.14E-05,0.0011645,0.000143385,0.007446643,0.00208322,0.015081673,0.000136055,0.000231877,0.94508235,0.000196136,4.79E-05,0.001373026,2.58E-05,2.58E-05,0.442591368,8.38E-05
Akt_pT308,0.013526069,0.003961517,0.000633861,0.995976249,8.01E-05,0.01456589,0.0007211,0.003875304,0.02301033,6.03E-05,0.004172011,0.002349647,0.429549638,0.201030976,0.002440344,0.00481582,0.000162482,0.026039035,0.0009446,5.56E-05,0.000367829,4.26E-05,0.002575777,0.000113588,0.560723658,0.000106545,0.025112479,0.235270244,0.00040859,2.10E-05,0.000620694,2.20E-05,2.57E-05,0.15936084,7.87E-05
AMPK_pT172,0.002574281,0.199585201,0.000889652,0.000632704,0.011706703,0.000670292,0.000396843,0.000387071,0.000856985,0.000484808,0.000656222,0.001817271,0.003110107,0.000760013,0.00071915,0.000598675,0.000683496,0.000280863,0.101085775,0.001019336,0.000599313,0.00059918,0.000433853,0.000825945,0.000684124,0.000312351,0.000427551,0.000578959,0.00066025,0.000664349,0.000925051,0.000481345,0.000536364,0.000336836,0.000632558
Bad_pS112,0.001744529,0.001154992,0.000537833,0.00052934,0.002608433,0.822367969,0.001584641,0.000180281,0.002080837,0.000340636,0.000725214,0.000910557,0.26755492,0.000538196,0.002048145,0.003294098,0.974855196,0.360100717,0.000578076,0.10711576,0.004984813,0.016359189,0.004687617,0.013268824,0.001818466,0.000462211,0.000341223,0.000751692,0.00084535,0.000659887,0.001275566,0.000456217,0.001520251,0.000395194,0.000506084
c-Met_pY1235,0.000723115,0.004335023,0.000553152,0.000506631,0.0007287,0.001623004,0.001950957,0.03012424,0.000757411,0.000542132,0.000469193,0.01257432,0.000792856,0.000661865,0.001994663,0.240654957,0.003286499,0.000381369,0.004106857,0.00069217,0.001482277,0.000474794,0.001810765,0.000545264,0.002582901,0.019319258,0.999865785,0.000760297,0.000573231,0.001128362,0.327319972,0.222027634,0.000585871,0.015531775,0.00180113
c-Raf_pS338,0.447194194,0.003764738,0.001088749,0.001948698,0.001286811,0.008942416,0.042710675,0.989372145,0.013374694,0.004037164,0.004801495,0.069908468,0.001493871,0.001617557,0.006111685,0.000710375,0.001120273,0.351123471,0.000594481,0.011499274,0.005512234,0.000572246,0.001659037,0.014052514,0.033888776,0.000368564,0.000537557,0.001949333,0.004057296,0.000571626,0.000630165,0.001007926,0.000471913,0.001618761,0.001961112
Chk1_pS345,0.00104329,0.010949568,0.000797016,0.0007107,0.036673685,0.000800653,0.001111323,0.00096988,0.903931236,0.000293982,0.000586267,0.002042034,0.001357201,0.000547217,0.030053585,0.002265572,0.003403151,0.000365129,0.000435433,0.000938477,0.001646753,0.000698401,0.001844644,0.000657106,0.000412409,0.002848461,0.000526314,0.000561822,0.000603262,0.000604841,0.001276466,0.000664185,0.000356854,0.00234629,0.001007776
Chk2_pT68,0.001462691,0.022424519,0.000546122,0.000528892,0.00267773,0.023312568,0.000346965,0.001337792,0.000556568,0.095768629,0.000691923,0.004107355,0.040618688,0.002234768,0.001293696,0.000632586,0.001816502,0.000407588,0.002762315,0.047961808,0.000528709,0.000509081,0.006925491,0.000787331,0.00240318,0.000659091,0.156935214,0.001453927,0.000743413,0.007882792,0.000587231,0.002094882,0.000832749,0.000396153,0.00102506
