,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.093884162,0.018157192,0.007158677,0.000879227,0.00204376,0.009362235,0.014568838,0.000513391,0.00034827,0.001078971,0.000667528,0.000839993,0.000752838,0.016029819,0.000311745,0.00078663,0.00284322,0.01515471,0.132176393,0.001078438,0.000439348,0.000273661,0.001615068,0.004738714,0.002784143,0.001261703,0.000477247,0.055264026,0.005273935,0.009436263,0.001242148,0.000530274,0.000408342,0.192883666,0.00071099
ACC_pS79,0.000664383,0.00028811,0.000545886,0.000728702,0.000494794,0.000986724,0.000344473,0.000609084,0.000314673,0.000388882,0.000617597,0.000508986,0.003647193,0.001748351,0.000316432,0.002668434,0.000565632,0.001156609,0.000729992,0.002354023,0.001266467,0.0003025,0.00017864,0.000437376,0.001211704,0.00039385,0.528308791,0.000658096,0.000792915,0.000753276,0.000407012,0.012736229,0.000686067,0.011847178,0.000554324
Akt_pS473,0.000112477,2.58E-05,0.997045061,0.007385849,0.000437764,0.07765123,1.56E-05,2.97E-05,0.000263852,0.000272322,0.000586437,2.84E-05,0.000159135,0.090907318,0.000665344,3.85E-05,0.001184072,6.11E-05,0.024071581,0.000306963,2.03E-05,8.80E-06,0.001121465,7.56E-05,0.000367649,4.54E-05,0.000137708,0.027563973,0.011036371,8.72E-05,2.91E-05,0.000981354,1.33E-05,0.30822318,4.08E-05
Akt_pT308,0.000256823,1.52E-05,0.004782801,0.993252368,0.002643294,0.000726424,1.59E-05,4.75E-05,0.000426372,0.001885456,0.000570938,2.03E-05,3.98E-05,0.066872121,0.001230199,4.99E-05,0.000605241,2.04E-05,0.030009998,6.93E-05,2.91E-05,1.14E-05,0.000999443,0.00011332,0.000266031,1.48E-05,0.000161547,0.024910453,0.023236218,9.52E-05,2.75E-05,0.052525951,1.08E-05,0.07561289,2.19E-05
AMPK_pT172,0.001054052,0.119688635,0.000307291,0.010700619,0.044064614,0.000752932,0.000336742,0.001451721,0.000475676,0.001900723,0.054171152,0.000880043,0.001048777,0.014236189,0.000356561,0.000706717,0.000601063,0.000529664,0.251910147,0.002977126,0.000822754,0.000426952,0.000327132,0.000378396,0.000572782,0.000438732,0.000783979,0.000550073,0.000712533,0.00068863,0.000413601,0.000802781,0.007120126,0.001208889,0.00060627
Bad_pS112,0.001028742,0.001878506,0.000518595,0.001132702,0.000994942,0.862829321,0.01697442,0.002331403,0.000335948,0.0003555,0.000945107,0.001553982,0.021143533,0.001723669,0.000426886,0.044109766,0.939706162,0.967346688,0.00154134,0.071074852,0.000568442,0.00028097,0.000405114,0.10969187,0.114774691,0.00098113,0.000473561,0.000820531,0.041191693,0.000828901,0.00347043,0.000637843,0.000711195,0.005251594,0.001214128
c-Met_pY1235,0.000892056,0.00030443,0.001651145,0.00127259,0.009980241,0.000990534,0.001249965,0.08855353,0.00034526,0.008042613,0.000716238,0.002283284,0.000607054,0.004896295,0.00066042,0.148329126,0.000765454,0.000704488,0.00965419,0.000612442,0.009645493,0.005271012,0.002278247,0.000538336,0.000562394,0.012646541,0.970274589,0.000567919,0.016962859,0.005637714,0.436501931,0.742895772,0.000505257,0.000806232,0.00050985
c-Raf_pS338,0.001308213,0.00051696,0.000503436,0.000535717,0.006419275,0.000912026,0.00029842,0.264514518,0.00094461,0.005225101,0.00852985,0.000335135,0.002612081,0.000746813,0.003553209,0.011299486,0.001166077,0.113017078,0.00307754,0.000586038,0.00091222,0.000395797,0.000488641,0.000789145,0.002797864,0.000365402,0.016725908,0.000667768,0.001335157,0.000772574,0.000463261,0.208528882,0.000382187,0.000604523,0.000588099
Chk1_pS345,0.002152771,0.000415954,0.000418134,0.000521798,0.017228547,0.000677146,0.000875391,0.00051391,0.269163432,0.002130932,0.000599579,0.000351293,0.000916733,0.000605675,0.00031713,0.000696901,0.000633654,0.000530617,0.000729382,0.001427854,0.00050402,0.000299701,0.000198291,0.000647853,0.000466609,0.000373406,0.000540451,0.000505717,0.0007265,0.000565075,0.000701363,0.000616693,0.00037497,0.002303705,0.000500533
Chk2_pT68,0.000555954,0.000834786,0.000380905,0.000977352,0.00042791,0.000723751,0.077895161,0.000629721,0.000387509,0.23791509,0.000481643,0.000335393,0.000637266,0.000845656,0.002526547,0.000451842,0.000809802,0.000627121,0.001722265,0.001607968,0.000642108,0.000291946,0.009025405,0.000335899,0.000579033,0.000529964,0.000506152,0.000833972,0.000747558,0.00052476,0.000491109,0.00125955,0.000430936,0.001083017,0.000496468
