,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.691884751,0.016643362,0.001136291,0.000568055,0.000799156,0.002131611,0.000646121,0.000556034,0.027654976,0.000316224,0.000740126,0.001674864,0.004277064,0.000689641,0.001023939,0.00183169,0.001414905,0.000761387,0.003775172,0.001454289,0.000249957,0.017396214,0.001788708,0.000954582,0.000760144,0.000601925,0.000550653,0.001354902,0.000592707,0.00305926,0.183125696,0.00034358,0.010979921,0.726540382,0.003661417
ACC_pS79,0.000983636,0.000460221,0.001127679,0.003640435,0.000395485,0.002812497,0.000299271,0.000531361,0.000614522,0.032392392,0.004460287,0.000877123,0.003937076,0.05583328,0.000548935,0.001124769,0.003459467,0.001984463,0.000665526,0.001259413,0.000622293,0.003647802,0.001075868,0.00067303,0.001105391,0.000429669,0.00038192,0.000595035,0.000909424,0.000536536,0.000574289,0.001009286,0.000397745,0.001193634,0.000780955
Akt_pS473,0.000306006,0.000527194,0.995847364,0.010531671,0.000675005,0.230436232,0.014047385,2.59E-05,0.001300815,5.61E-05,3.18E-05,0.001302681,0.001085922,0.484379076,0.000185981,0.000970048,0.000850062,5.48E-05,0.000584984,0.024387102,1.06E-05,0.000743062,4.84E-05,5.69E-05,0.000112052,0.00014606,7.15E-05,0.081379867,0.020796401,3.05E-05,0.001992051,1.30E-05,0.001562567,0.815956189,0.000294755
Akt_pT308,0.000164995,3.67E-05,0.005345796,0.992692288,6.74E-05,0.000685941,0.004657019,4.65E-05,0.001055685,7.98E-05,3.66E-05,0.00105223,0.000275044,0.472568649,0.00145276,0.0005006,0.00385758,6.16E-05,0.000222237,0.051012394,1.15E-05,0.000683149,3.13E-05,4.17E-05,8.72E-05,0.000454634,6.92E-05,0.078202048,0.004849919,2.88E-05,6.83E-05,1.17E-05,0.00039409,0.276905687,4.03E-05
AMPK_pT172,0.00055913,0.301884399,0.000586667,0.001959512,0.00780642,0.000767036,0.000282232,0.002179826,0.001876449,0.000662538,0.00036159,0.000537401,0.014038331,0.002840801,0.017332213,0.011610594,0.005786496,0.000550889,0.148422148,0.000500905,0.005841178,0.009151899,0.003838512,0.001169534,0.011418446,0.000389385,0.000350486,0.000547928,0.000614568,0.001292241,0.000590971,0.000382661,0.000367631,0.025455893,0.000816253
Bad_pS112,0.000653622,0.021965515,0.000820861,0.002816975,0.010266147,0.999794948,0.0005129,0.000653028,0.005926289,0.000501981,0.0005064,0.006625016,0.012687288,0.00116408,0.0043411,0.089594363,0.992348969,0.917350107,0.001467575,0.015990314,0.000931176,0.894295941,0.017330714,0.00391635,0.015921923,0.000826133,0.000329805,0.005284393,0.005778016,0.003729258,0.004898147,0.000344317,0.000767483,0.01052894,0.002136361
c-Met_pY1235,0.000958035,0.000495051,0.001271388,0.00348596,0.000422114,0.000698751,0.006486872,0.024068596,0.000495835,0.00029072,0.000614017,0.000585387,0.000597059,0.003566274,0.000362098,0.703751516,0.000559937,0.000853997,0.001079627,0.000797768,0.00027118,0.002665986,0.002509901,0.000475496,0.001994913,0.051312048,0.105425315,0.000552268,0.00175973,0.0012844,0.182104052,0.112670765,0.002289766,0.000817335,0.000849397
c-Raf_pS338,0.000744559,0.000474193,0.001704485,0.00102275,0.000430202,0.001061206,0.000380521,0.999428638,0.016790698,0.000280822,0.000370697,0.002020857,0.000995993,0.001299363,0.316333974,0.012294177,0.001520975,0.120362393,0.000580401,0.000953588,0.014091449,0.000759263,0.001310041,0.000468905,0.488780423,0.000969717,0.000381568,0.000587645,0.000603898,0.000605321,0.000552639,0.00034438,0.000844691,0.006545447,0.000624496
Chk1_pS345,0.000773078,0.001015364,0.00218007,0.000542673,0.023218096,0.000572189,0.000278674,0.003638726,0.156154851,0.000307296,0.00047206,0.003571208,0.002592814,0.001283944,0.001928021,0.000671199,0.001082378,0.000555226,0.000496848,0.000491493,0.00173317,0.002341543,0.003789325,0.000469471,0.000749896,0.000870181,0.000476772,0.000524506,0.000647735,0.000626548,0.000624925,0.001150826,0.000423352,0.000842038,0.000633516
Chk2_pT68,0.002369976,0.003939567,0.001144704,0.001073787,0.000492789,0.000917319,0.002526871,0.000536103,0.000518811,0.108592718,0.002238176,0.004571466,0.113652323,0.000578409,0.004605217,0.001075989,0.000789597,0.003144414,0.000923155,0.027197655,0.000378607,0.001449398,0.010601431,0.000544719,0.000394132,0.008899428,0.000330521,0.001370214,0.001882477,0.000636877,0.018005238,0.000439791,0.000394924,0.000747776,0.000837799
EGFR_pY1068,0.000665556,0.000426674,0.000822532,0.000598175,0.000469693,0.000611804,0.000606151,0.16558652,0.000426416,0.000289529,0.041590722,0.000334547,0.000598895,0.000606061,0.00053543,0.181663525,0.000502695,0.001478771,0.000480324,0.000724252,0.000432213,0.000814355,0.100015027,0.000495202,0.00042343,0.105554947,0.111374407,0.000970184,0.000495839,0.000743871,0.203151754,0.189964373,0.000398668,0.001149454,0.000546799
EGFR_pY1173,0.00094438,0.000565767,0.000580211,0.000617245,0.00052422,0.000899326,0.000785667,0.003032572,0.107016997,0.000565834,0.000332126,0.000760779,0.018715872,0.002161106,0.833589985,0.017344138,0.000541216,0.000758022,0.000983346,0.000607182,0.001162216,0.001196044,0.437769214,0.000543549,0.000829967,0.073055278,0.000758756,0.000996056,0.000895016,0.000646057,0.002188993,0.000591382,0.000407334,0.001263145,0.00305544
ER-alpha_pS118,0.000625572,0.004560947,0.000773935,0.010393267,0.167994353,0.000622707,0.000301993,0.000978624,0.000777786,0.001077166,0.028614727,0.00033922,0.773529625,0.00058946,0.000968145,0.000931705,0.000481694,0.000994103,0.001818772,0.003524738,0.000248017,0.006551957,0.00155033,0.00050593,0.976952182,0.001380478,0.000335298,0.001394294,0.001162887,0.000940138,0.000589902,0.000391053,0.000381451,0.001217013,0.000553105
GSK3-alpha-beta_pS21_S9,0.000567681,0.014117509,0.006316116,0.000610343,0.027988537,0.005472894,0.000440483,0.000807502,0.042277054,0.000296647,0.000342153,0.001254712,0.09503415,0.000793953,0.001628807,0.021691708,0.00119625,0.000737762,0.168630882,0.000623637,0.000349882,0.001056783,0.001154545,0.000702527,0.001531213,0.000389846,0.000446607,0.001012065,0.001196559,0.000619399,0.003339428,0.00034888,0.000813167,0.001790606,0.012496609
HER2_pY1248,0.001661545,0.000398408,0.00057168,0.001327446,0.000392686,0.00065127,0.000619914,0.279355394,0.000679413,0.000292053,0.000341634,0.001805551,0.029800497,0.00140147,0.006061173,0.386229708,0.000535739,0.000792846,0.000504492,0.001063873,0.002931149,0.001576439,0.146670602,0.000509243,0.001505367,0.042922591,0.111669647,0.001131281,0.107741074,0.000565798,0.182798449,0.145779784,0.00042167,0.001626121,0.000583939
JNK_pT183_pT185,0.00115361,0.000457572,0.001118487,0.001128928,0.00052694,0.00060563,0.000699914,0.000570739,0.000675658,0.000337749,0.000432485,0.000960197,0.001539597,0.001343209,0.007935203,0.001059123,0.001429098,0.001532373,0.000478988,0.002564911,0.00044334,0.00115591,0.000710546,0.000471435,0.000411779,0.000577299,0.000344809,0.001455192,0.001517695,0.000574213,0.001195247,0.000351535,0.000480658,0.003656811,0.001156009
MAPK_pT202_Y204,0.000957454,0.000581907,0.000683792,0.003707392,0.000451605,0.050298976,0.024462672,0.015124251,0.000496602,0.003399307,0.11594804,0.056379502,0.000532283,0.003658586,0.305067445,0.001433063,0.334838595,0.299225152,0.561786126,0.08149653,0.000248049,0.010270344,0.000729122,0.000770618,0.999168446,0.007708881,0.000412967,0.000776459,0.031306945,0.000611929,0.001572065,0.000410998,0.003492348,0.002418332,0.000911523
MEK1_pS217_S221,0.00032081,0.000138101,0.001501667,0.001219326,0.000164918,0.000208194,0.010190656,9.51E-05,0.000214694,0.004721,0.152721174,0.466743681,0.000144799,0.00355587,0.009395418,0.000417438,0.996163353,0.052016222,0.000680695,0.018591156,6.00E-05,0.006451331,0.00011318,0.000140242,0.000239503,0.000420055,0.000180217,0.000189299,0.185277795,0.000140008,0.000151616,0.000735489,0.002249752,0.001815108,0.011068364
mTOR_pS2448,0.409954651,0.000356352,0.935727475,0.139947257,0.001692525,0.001527968,3.58E-05,0.000100949,0.003371304,9.15E-06,4.03E-05,4.34E-05,0.002347205,0.016032797,5.25E-05,0.000475164,0.000399128,0.000158622,0.014429359,8.57E-05,2.58E-05,0.006541564,0.000428558,0.919190161,9.32E-05,0.000586782,3.06E-05,0.046090553,4.17E-05,0.000365105,0.003829562,1.01E-05,0.0054222,0.000822853,0.015911988
NF-kB-p65_pS536,0.000934626,0.001116109,0.000894838,0.001393436,0.000330308,0.001353943,0.000469001,0.000657266,0.002137134,0.000521602,0.006413028,0.00043174,0.00100279,0.000701471,0.00049273,0.00050557,0.001083276,0.000597496,0.000636949,0.834858138,0.000546872,0.000779793,0.001017509,0.00047397,0.000367209,0.0030668,0.001135251,0.003355637,0.002493069,0.00091586,0.000792707,0.001080085,0.000370644,0.000861667,0.000948922
p27_pT157,0.000606072,0.000395842,0.000554572,0.000588959,0.000331569,0.000559518,0.000301115,0.000536681,0.000794219,0.000289682,0.000426439,0.000414112,0.007606551,0.000778546,0.004632998,0.000891944,0.000483071,0.000978578,0.001157227,0.028752851,0.000405224,0.000650162,0.00074393,0.000468677,0.000531193,0.000752467,0.001270311,0.000512734,0.001949339,0.000582153,0.005304402,0.000496781,0.000808363,0.000844595,0.000610511
p27_pT198,0.00072821,0.000967573,0.001001115,0.005646337,0.000964399,0.012994407,0.003875824,0.000887234,0.000412953,0.000681183,0.000788383,0.005039496,0.003829759,0.000787076,0.811672213,0.008609191,0.000580668,0.001995803,0.001408959,0.038903421,0.001145912,0.011850592,0.00399081,0.001030526,0.000379242,0.069491489,0.000834202,0.00121841,0.002192271,0.000719622,0.006701009,0.000388063,0.001107445,0.006002866,0.010517895
p38_pT180_Y182,0.000843547,0.000476433,0.000585442,0.001017838,0.000722181,0.000839741,0.000335872,0.002863286,0.000392165,0.002728989,0.000481018,0.000397854,0.001034928,0.000637894,0.001200357,0.000873413,0.000838404,0.002221184,0.001936528,0.032657073,0.000255895,0.016075609,0.000550197,0.000465483,0.000460585,0.000800532,0.000350245,0.000520511,0.000512271,0.000788979,0.003155656,0.000515877,0.000393241,0.000655845,0.003447288
p70S6K_pT389,0.000989517,0.039734102,0.058480918,0.00073355,0.003126548,0.018132687,0.000712433,0.000594426,0.017500787,0.000324523,0.000421959,0.632708802,0.003219147,0.983851109,0.001108724,0.0038075,0.001545096,0.00101102,0.992243447,0.000777613,0.000269669,0.916610533,0.001893951,0.99816382,0.001409332,0.12382085,0.000528441,0.951898921,0.001790931,0.75742134,0.549623031,0.000345169,0.006502551,0.158909046,0.010876528
p90RSK_pT359_S363,0.000703907,0.001142667,0.001366694,0.001622914,0.000390214,0.316161803,0.003287113,0.000551725,0.000484081,0.000361508,0.0009102,0.283948976,0.000980303,0.009026257,0.021710403,0.001596132,0.001478946,0.001416158,0.032525082,0.000651756,0.000624054,0.000776943,0.000672157,0.001096688,0.00784704,0.00419274,0.000412347,0.002850419,0.461802456,0.224880287,0.005097592,0.000509439,0.000640905,0.003839171,0.001530226
PDK1_pS241,0.00112787,0.000458145,0.217292669,0.079273345,0.002005916,0.007837335,0.0058059,0.000574497,0.003911957,0.000687054,0.000511099,0.000525543,0.000514982,0.000637943,0.000413603,0.000678914,0.000489971,0.000546834,0.000827316,0.003330122,0.000396725,0.000933097,0.002824011,0.356391394,0.001839358,0.001004083,0.012025637,0.000832869,0.001449036,0.000657926,0.004191091,0.000680356,0.000367884,0.001258807,0.003277267
PKC-alpha_pS657,0.000538987,0.000502157,0.000663444,0.00052918,0.000338293,0.000840789,0.000268082,0.00090707,0.000615856,0.000302131,0.000339873,0.000436387,0.00055923,0.000723182,0.000362832,0.001194188,0.000554575,0.002197951,0.000464782,0.004061684,0.0002456,0.002732902,0.000568794,0.000597195,0.000338559,0.000347263,0.001050319,0.000521093,0.000473642,0.000641392,0.001317346,0.000375125,0.000513336,0.000654647,0.002382972
PRAS40_pT246,0.000650255,0.001950262,0.001268114,0.000590592,0.014319641,0.000965498,0.00028892,0.003413789,0.033212591,0.000351958,0.000354252,0.001506593,0.009089434,0.00057556,0.004446408,0.013601513,0.000613886,0.001773747,0.009681108,0.00055935,0.000399526,0.000801086,0.001761557,0.001301594,0.000830582,0.000491042,0.000355481,0.001488606,0.005535872,0.000726126,0.003017459,0.000344547,0.001270289,0.001091817,0.00161725
Rb_pS807_S811,0.002352751,0.001118766,0.000836012,0.000586864,0.005676739,0.002567341,0.00150797,0.002036474,0.029291485,0.001027026,0.000479828,0.000980197,0.002090076,0.001902343,0.001852123,0.160749262,0.000503158,0.001218135,0.000681518,0.000606777,0.000619114,0.000955697,0.000569302,0.000551043,0.002560611,0.000462626,0.000346973,0.000565767,0.935022323,0.001585537,0.000630333,0.000381607,0.000399116,0.005515986,0.006621743
S6_pS235_S236,0.000584919,0.047995226,0.008612207,0.001453804,0.002711804,0.006002719,0.000571911,0.000679944,0.007201765,0.000394606,0.000410339,0.00200809,0.001432772,0.003172196,0.001384208,0.003779771,0.001021986,0.000932387,0.049518643,0.003129278,0.000283522,0.007883544,0.87812351,0.000684864,0.001256361,0.000529237,0.000405133,0.002463983,0.001899782,0.843124752,0.176674909,0.000342016,0.003581859,0.024692186,0.00667127
Src_pY416,0.000606016,0.00106193,0.001032191,0.001904076,0.000398712,0.000571203,0.000753919,0.00061363,0.000523364,0.000771694,0.00065106,0.00046812,0.000599761,0.00097906,0.008143455,0.000816021,0.000540878,0.007971394,0.001584653,0.000637782,0.000247879,0.000706345,0.00076925,0.00047131,0.000354811,0.000386777,0.000448858,0.000728658,0.000528558,0.000732042,0.004419316,0.00039587,0.179945203,0.00160765,0.0005268
Src_pY527,0.000971832,0.00037116,0.000568489,0.000552445,0.001833888,0.001038188,0.00095305,0.000537004,0.000387703,0.000308066,0.000574499,0.000341279,0.001582344,0.000814382,0.001289362,0.001623547,0.000472509,0.012068451,0.001304577,0.001146655,0.000245783,0.011044545,0.000982929,0.00052466,0.000557012,0.000480461,0.000332583,0.00060472,0.000582675,0.000902941,0.002285416,0.000424902,0.13835288,0.000794929,0.000664216
STAT3_pY705,0.000543799,0.002571298,0.000693709,0.000803921,0.000401648,0.000588721,0.000311038,0.000545951,0.000683532,0.000283167,0.000762273,0.000497284,0.000635703,0.000579362,0.000402544,0.000493943,0.001268391,0.00693378,0.000667445,0.001060149,0.000243425,0.000679961,0.000885246,0.000573459,0.000391199,0.003418986,0.00032903,0.000537203,0.000514305,0.000593994,0.001345712,0.000435618,0.195490714,0.000732676,0.000532211
YAP_pS127,0.01106487,0.000552656,0.003084301,0.00135134,0.000624908,0.000594205,0.003447384,0.000592344,0.00132755,0.000442014,0.000346291,0.001820434,0.004989734,0.00099989,0.001173604,0.014774072,0.002263084,0.000583544,0.000897026,0.000591167,0.000559237,0.009216112,0.000981227,0.000513571,0.000528036,0.000447669,0.000321948,0.00157842,0.006520239,0.000776332,0.000746298,0.000361286,0.000503803,0.062309308,0.000992592
YB-1_PS102,0.000769534,0.008461583,0.000725931,0.001502119,0.043720671,0.000635533,0.000419932,0.000979156,0.001179418,0.000393178,0.000429722,0.002009907,0.001737966,0.000661615,0.001801548,0.253055992,0.001178787,0.001488414,0.00053964,0.000751726,0.000631503,0.023237419,0.001738692,0.000850058,0.004727568,0.000562089,0.000316849,0.00272071,0.00868861,0.001075317,0.002881918,0.000343101,0.000493213,0.006250257,0.999798496
