,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.166196085,0.008964223,0.111898053,0.000642374,0.004466718,0.001575458,0.002809646,0.000674265,0.003661638,0.000618513,0.00032735,0.000860599,0.001023991,0.00123342,0.000640418,0.010365053,0.004163617,0.003021978,0.001371339,0.00109168,0.000831289,0.002299977,0.001818767,0.000642337,0.005536968,0.000958163,0.000522446,0.00610043,0.00057116,0.000410014,0.001056783,0.009902703,0.000696144,0.987897943,0.015652449
ACC_pS79,0.001362778,0.000657313,0.00027002,0.001038276,0.000486225,0.001849755,0.000255067,0.000486148,0.000943207,0.000272157,0.000396206,0.002551611,0.000657734,0.00050568,0.000694321,0.038352271,0.003314767,0.002786211,0.000497363,0.001201957,0.000585556,0.000880211,0.095163857,0.000578531,0.002984082,0.001492077,0.000631921,0.000574687,0.00058871,0.000387395,0.000534327,0.000714849,0.000433722,0.000731967,0.000872583
Akt_pS473,0.00018878,0.000126257,0.997741426,0.005701592,1.88E-05,0.027552761,5.21E-05,1.79E-05,0.022585105,7.15E-05,2.93E-05,1.88E-05,0.000157558,0.020428105,0.000195584,0.001941554,0.001843286,0.000440425,0.001169179,0.002078321,0.001870551,3.96E-05,3.32E-05,4.95E-05,0.009631628,3.24E-05,0.000658969,0.166204581,0.000144928,2.01E-05,0.000313109,0.000603447,4.44E-05,0.021413698,0.000217472
Akt_pT308,0.000429456,7.37E-05,0.0026075,0.995148946,1.01E-05,0.000364698,8.74E-06,9.00E-05,0.01010878,5.20E-05,4.25E-05,1.99E-05,5.10E-05,0.01790559,0.000495552,0.000112378,0.001175246,0.000670664,0.001125256,0.002277186,0.001287802,3.30E-05,3.10E-05,8.13E-05,0.001611279,2.88E-05,0.001823283,0.170028078,0.000141265,1.98E-05,0.00044765,0.000602873,0.001041657,0.015292538,0.000143561
AMPK_pT172,0.001169701,0.169604168,0.000213882,0.000578884,0.005335563,0.001372924,0.00027309,0.002712574,0.004613605,0.000616646,0.000342011,0.000448833,0.000557139,0.000496376,0.000542833,0.001341508,0.000541779,0.000460348,0.251913613,0.001630071,0.00047114,0.001887463,0.000586664,0.000530764,0.000493346,0.001727795,0.002105243,0.000494602,0.000597397,0.000346734,0.00058259,0.001050485,0.000381515,0.001542308,0.000563264
Bad_pS112,0.001160083,0.002919823,0.001865745,0.000605093,0.009761954,0.998235947,0.002434305,0.000609528,0.001284254,0.000397575,0.000459704,0.00137354,0.005201568,0.000579052,0.001044853,0.033594593,0.333882158,0.440631219,0.033189535,0.052159396,0.000567067,0.001313595,0.000855709,0.00080493,0.009507176,0.000572837,0.000481356,0.000831416,0.000637645,0.002088404,0.004385875,0.002300099,0.000578026,0.001540872,0.004323135
c-Met_pY1235,0.00127329,0.009414578,0.000519965,0.000605326,0.000343126,0.000837075,0.003048307,0.029587887,0.000469846,0.014754682,0.00035555,0.00049742,0.00108538,0.000512683,0.000801027,0.466003421,0.000692312,0.000505145,0.001878525,0.000598175,0.000459896,0.001817587,0.005734135,0.00173169,0.000610991,0.013999246,0.165439416,0.00276608,0.001143049,0.000375437,0.261546075,0.553488389,0.016994954,0.000571836,0.012679884
c-Raf_pS338,0.001174802,0.000472917,0.000336668,0.005626164,0.000291362,0.000674618,0.000250667,0.639334207,0.000767829,0.000509699,0.000623161,0.002046652,0.000622667,0.000641634,0.001187736,0.036993209,0.003206807,0.211448053,0.00061043,0.000459731,0.000635267,0.000490136,0.003373235,0.000541458,0.003620528,0.003011761,0.000515154,0.000589937,0.000778219,0.000340912,0.001046281,0.000583538,0.007544023,0.000883923,0.00065564
Chk1_pS345,0.000634288,0.000818746,0.000329161,0.001915714,0.032194246,0.006876147,0.000528477,0.000409367,0.663606105,0.000509403,0.002037119,0.000361802,0.00121431,0.002891224,0.000681737,0.013116267,0.001901846,0.004764337,0.001300785,0.000780744,0.000459656,0.000805879,0.000547807,0.001016016,0.051160454,0.000468747,0.00052184,0.000989601,0.001111077,0.431586957,0.001054547,0.011484027,0.002922285,0.00089651,0.023713093
Chk2_pT68,0.002156664,0.000600035,0.000664576,0.00076513,0.000417561,0.000814715,0.003548313,0.000937842,0.000475791,0.092037713,0.000334353,0.000637379,0.000949876,0.000660504,0.000628311,0.000760788,0.000564996,0.000471662,0.001466445,0.00045383,0.001317446,0.000508342,0.013364603,0.001075396,0.000505328,0.000847057,0.000551307,0.000602941,0.007250225,0.000417547,0.000577391,0.000568415,0.005363266,0.000666174,0.002743008
EGFR_pY1068,0.000722878,0.000291446,0.000389197,0.000620089,0.000356632,0.000676999,0.000253355,0.552095363,0.000490912,0.000276791,0.113405272,0.000583163,0.000919317,0.000655061,0.000820201,0.406930671,0.002936794,0.001472408,0.002265469,0.002488411,0.00077622,0.000497701,0.040292449,0.001729294,0.000554604,0.175452751,0.17344034,0.001167914,0.000813431,0.00038004,0.244313135,0.296852234,0.000559021,0.000597472,0.001368627
EGFR_pY1173,0.00177036,0.000306199,0.001235618,0.00761419,0.000364584,0.00098406,0.000342916,0.002176007,0.000658173,0.000297106,0.000465112,0.002684697,0.00083171,0.000530414,0.000728708,0.005500653,0.000540665,0.000665876,0.000474503,0.000865469,0.000510316,0.000548676,0.282521087,0.000957583,0.000565574,0.024291182,0.001515761,0.000727212,0.000561353,0.000361319,0.003673888,0.002694676,0.001236743,0.001101161,0.002421059
