,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.180980387,0.106958613,0.000858883,0.001267253,0.00149274,0.006381433,0.000423395,0.000724293,0.000325352,0.00033898,0.015681316,0.001973539,0.000901304,0.001161692,0.000773183,0.000671988,0.013143127,0.446841595,0.073431798,0.00091981,0.000315247,0.06067192,0.004771693,0.002356614,0.000776473,0.001413064,0.000467105,0.002943493,0.000800636,0.003168277,0.000507728,0.000510936,0.000431067,0.994778217,0.011028502
ACC_pS79,0.00078495,0.001942416,0.00139637,0.010462815,0.000714665,0.000548042,0.000557888,0.000604744,0.00031355,0.000280596,0.000812036,0.000568656,0.002397801,0.001621093,0.001744689,0.001594603,0.000387193,0.001200997,0.000619575,0.037132426,0.000318729,0.000655526,0.000998353,0.000968124,0.000749306,0.000608415,0.000452754,0.001277836,0.000729371,0.000642667,0.000321968,0.000524368,0.000350553,0.000607435,0.000649633
Akt_pS473,6.66E-05,0.000148566,0.998580353,0.012542307,0.000231597,0.138491095,0.000117052,0.000199196,0.000877307,3.17E-05,0.000244354,0.000211352,0.000452386,0.017689163,0.000199063,3.69E-05,0.001764688,0.000406986,0.000157493,0.000600553,1.54E-05,3.43E-05,3.50E-05,3.70E-05,0.000119521,0.000487624,0.001785977,0.041097943,0.001416367,3.92E-05,0.000141274,0.000155973,7.17E-05,0.01320784,7.17E-05
Akt_pT308,9.38E-05,3.25E-05,0.00216867,0.990695684,0.000102734,0.001382344,0.000317906,0.000206558,0.000670587,2.60E-05,0.000323028,0.000257606,0.000524005,0.017186032,0.000251615,2.35E-05,0.001006765,0.000812447,0.000231009,0.000525741,1.52E-05,2.83E-05,2.89E-05,3.16E-05,5.53E-05,0.000532357,0.001570924,0.038391901,0.000485755,3.65E-05,0.000166696,0.000283515,6.80E-05,0.006614852,2.86E-05
AMPK_pT172,0.00131067,0.330917546,0.001222771,0.001426001,0.329997688,0.00050867,0.000595061,0.000642061,0.000357779,0.000366932,0.003565482,0.002381132,0.001489197,0.000591934,0.002199071,0.001031321,0.000275072,0.000788718,0.300077739,0.000689097,0.000249304,0.001238911,0.001906112,0.002633773,0.000657216,0.000798381,0.002209607,0.004314654,0.001454812,0.000896938,0.000390751,0.005468547,0.000571531,0.000841871,0.000701021
Bad_pS112,0.000610937,0.014315533,0.000951929,0.011040923,0.011177223,0.900141876,0.000623401,0.000927097,0.000335091,0.000308556,0.812724803,0.011650657,0.03866356,0.00138553,0.016685715,0.006224154,0.999692634,0.999892297,0.000788293,0.03679891,0.001415744,0.024247848,0.035624627,0.00165665,0.086345444,0.000474626,0.000481839,0.004618091,0.003818893,0.001943926,0.000316041,0.000770788,0.000433034,0.000651682,0.000586393
c-Met_pY1235,0.000617709,0.019513412,0.001727227,0.000718529,0.001384527,0.000603297,0.001509902,0.030386301,0.000373093,0.002673663,0.00062084,0.00065905,0.003642955,0.000493676,0.00288099,0.215556639,0.224506514,0.050491827,0.002914758,0.001804374,0.000398107,0.000461655,0.005706036,0.004545823,0.005063335,0.012979994,0.338550962,0.000512192,0.001098969,0.000829352,0.10226953,0.809161617,0.000451966,0.000497228,0.00049935
c-Raf_pS338,0.000541913,0.000884359,0.008950332,0.019744203,0.060547648,0.00202499,0.000519794,0.997401315,0.000921054,0.000298613,0.001897867,0.001114046,0.000813382,0.000504287,0.001494552,0.000645037,0.000281925,0.139702074,0.008682394,0.00081836,0.000242812,0.000505326,0.000549451,0.00066793,0.001178601,0.00261281,0.005123219,0.000576308,0.000696335,0.000682926,0.000345952,0.002726848,0.000416748,0.000505826,0.000582895
Chk1_pS345,0.000564231,0.000548552,0.000610113,0.00051915,0.045168521,0.00089926,0.00147368,0.001286653,0.302529013,0.000309977,0.001154427,0.0005189,0.000755989,0.001132097,0.000605995,0.000553767,0.000307831,0.000882763,0.001088165,0.001051972,0.000295284,0.000777136,0.000504648,0.00062192,0.000810488,0.000476807,0.044320339,0.002312996,0.000748185,0.000600937,0.000893314,0.001114304,0.001273147,0.000613064,0.000569243
Chk2_pT68,0.00070101,0.000646806,0.001008407,0.000525083,0.000613203,0.000613685,0.006721088,0.003652156,0.000318346,0.16955527,0.073283588,0.004148192,0.001161039,0.001010734,0.000756744,0.00065526,0.000430075,0.000538341,0.000602164,0.008966729,0.000290401,0.000496927,0.009045497,0.000981121,0.000613471,0.000368656,0.001191119,0.001091087,0.000733452,0.000606274,0.000312506,0.000993385,0.000429348,0.000781907,0.001086119
EGFR_pY1068,0.000716632,0.001945621,0.045641989,0.010008345,0.000613302,0.001363798,0.000370523,0.153049617,0.000495317,0.000317279,0.116239643,0.00073095,0.000810768,0.003722961,0.000686699,0.945291296,0.000288235,0.000770277,0.001586757,0.000579045,0.000258703,0.000856542,0.190959086,0.000997452,0.004364167,0.218496306,0.141867629,0.001164085,0.016649188,0.002734812,0.104234959,0.188392007,0.000336397,0.000496388,0.000509532
EGFR_pY1173,0.000578743,0.001094099,0.000699306,0.000576193,0.001377908,0.000565636,0.000395318,0.002180223,0.000324437,0.000639039,0.00079988,0.000573513,0.001433446,0.000507248,0.00061379,0.005326726,0.000269848,0.000429262,0.000560718,0.00057708,0.000555772,0.000478118,0.371162131,0.000744078,0.001910359,0.033454048,0.002819114,0.000647301,0.000588919,0.000538251,0.000747566,0.001778869,0.00033944,0.005893657,0.00055901
ER-alpha_pS118,0.001032117,0.001074035,0.001268224,0.004993688,0.000657592,0.00086999,0.001260933,0.000538825,0.000436826,0.00028509,0.010733029,0.001522097,0.999810655,0.00081692,0.461092034,0.004455254,0.000499562,0.000400734,0.001015177,0.218950235,0.000389073,0.065452081,0.014403008,0.001228736,0.999209571,0.000371907,0.001299234,0.00058853,0.001166862,0.001183319,0.000388454,0.000511022,0.000357707,0.000906455,0.000551479
GSK3-alpha-beta_pS21_S9,0.000711568,0.002591789,0.000526355,0.000773398,0.003668878,0.009213476,0.000424709,0.000902583,0.000563263,0.000446916,0.077937163,0.022582755,0.003168987,0.000509793,0.001076023,0.001157296,0.002141491,0.000960873,0.077816391,0.000870278,0.000538943,0.002356683,0.001871912,0.001139601,0.001219202,0.001056516,0.00041545,0.00104322,0.026844922,0.000710285,0.000319884,0.002104697,0.000511755,0.000693945,0.001056019
HER2_pY1248,0.000978502,0.001459119,0.000545381,0.000710562,0.000544351,0.001002607,0.000451962,0.26884462,0.002263213,0.000349412,0.000888765,0.000611424,0.000661094,0.000508464,0.001666765,0.255854241,0.00037949,0.000415896,0.000555136,0.002771039,0.000281418,0.000492972,0.426478348,0.000541087,0.002083113,0.026444324,0.132766196,0.000506417,0.018747562,0.00128376,0.106389703,0.188695389,0.000443378,0.000719193,0.000787575
