,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.116811233,0.127340573,0.000663327,0.000509081,0.00801302,0.001967556,0.000326744,0.001754597,0.000349709,0.000269027,0.001823023,0.000647191,0.000289439,0.000786633,0.000835657,0.10708649,0.001428555,0.000832647,0.004939124,0.00047995,0.000523589,0.000765964,0.000578837,0.000548838,0.001662946,0.000912274,0.000467632,0.004428207,0.01424865,0.005879022,0.0005638,0.014674119,0.000348549,0.380919252,0.02586592
ACC_pS79,0.005011432,0.000634634,0.00067488,0.000569453,0.001811894,0.000578058,0.000256191,0.000473137,0.000262719,0.000263289,0.002203786,0.000460733,0.000266788,0.015195158,0.001154126,0.038995373,0.001021447,0.000580068,0.000929618,0.00033355,0.000779455,0.000402034,0.389874316,0.004360728,0.000634523,0.000634713,0.000392122,0.003381454,0.02755342,0.001664269,0.000731149,0.018758959,0.000354584,0.00136283,0.001837371
Akt_pS473,0.000171943,0.000153909,0.999863104,0.004964829,6.39E-05,0.024980495,0.001062571,0.000147037,0.000128103,4.48E-05,0.000168753,8.61E-05,2.40E-05,0.167885628,0.000115866,2.96E-05,0.001108577,0.00144911,0.000270894,7.72E-05,2.33E-05,1.85E-05,0.000306502,2.81E-05,0.001273536,0.000119772,5.52E-05,0.022512194,0.001785838,2.69E-05,3.01E-05,0.000415427,1.18E-05,0.075963308,7.40E-05
Akt_pT308,5.21E-05,0.000109819,0.000696299,0.995726802,0.000131445,0.000665163,4.37E-05,0.000572738,0.000154099,3.33E-05,0.000735526,5.16E-05,6.57E-05,0.567448185,5.57E-05,0.001722259,0.000781666,0.000495119,0.000510399,0.000586089,1.19E-05,2.11E-05,0.002375617,5.62E-05,5.49E-05,5.28E-05,0.00043462,0.034375841,0.001327144,2.63E-05,3.27E-05,0.004442959,1.49E-05,0.051864431,4.41E-05
AMPK_pT172,0.000794129,0.656060857,0.000956093,0.002018584,0.277572947,0.000609258,0.000396291,0.0027897,0.000270613,0.000305359,0.000749961,0.000432631,0.010278685,0.014995229,0.00046804,0.000505323,0.00103595,0.00042483,0.498749979,0.005477206,0.000261283,0.000322258,0.014305331,0.000935051,0.011322922,0.000993111,0.00473853,0.060508837,0.098090128,0.00072296,0.001517746,0.018443655,0.000405139,0.001185458,0.002379804
Bad_pS112,0.000921386,0.022822868,0.000605067,0.000672726,0.000826598,0.528412703,0.001203193,0.002023969,0.000363803,0.000299094,0.00181577,0.001451256,0.001985044,0.000818897,0.000382173,0.023385094,0.491583739,0.595910431,0.002428731,0.023527547,0.000974048,0.000524008,0.00054497,0.000605545,0.002916173,0.002797191,0.000445957,0.00073071,0.008000269,0.000718878,0.000550811,0.000556278,0.000811949,0.299202232,0.00127186
c-Met_pY1235,0.001641807,0.000895261,0.000536739,0.001396945,0.001537662,0.000590871,0.0221162,0.029171109,0.000268456,0.001757522,0.001557737,0.001285056,0.000280087,0.000947309,0.000436969,0.783610923,0.000817886,0.000403765,0.138832943,0.000297636,0.000638175,0.000548241,0.002115806,0.000529925,0.003619623,0.026438333,0.913356688,0.000520835,0.012889403,0.00057447,0.213648116,0.890593225,0.000457303,0.00060624,0.00043078
c-Raf_pS338,0.000621407,0.001580719,0.000650508,0.000566732,0.000644734,0.001016294,0.00026424,0.186071466,0.000307875,0.00028158,0.000869929,0.000545329,0.001410487,0.001931367,0.000445132,0.00097249,0.030876825,0.499284425,0.000587472,0.000289366,0.000263665,0.000683742,0.000785626,0.001162905,0.000844558,0.000672132,0.005436125,0.000599374,0.000576058,0.001665155,0.000689304,0.000706388,0.000652616,0.000709078,0.000648044
Chk1_pS345,0.002261236,0.000878828,0.001829483,0.000893374,0.022432391,0.023660227,0.000554427,0.000546914,0.095002032,0.00026625,0.000745603,0.000378197,0.000661043,0.003736793,0.00032913,0.001602209,0.000492546,0.000298708,0.001542958,0.001299798,0.000283368,0.000487689,0.000948145,0.011375162,0.007234742,0.000960217,0.000433802,0.000879594,0.00070895,0.001893596,0.000620171,0.000921959,0.00036877,0.000848808,0.000710437
Chk2_pT68,0.001531768,0.000566998,0.000607767,0.000649837,0.000479434,0.000900997,0.000252027,0.000492409,0.000589829,0.09708679,0.000562984,0.000406254,0.000509719,0.000918701,0.00033925,0.000468401,0.00071897,0.000508658,0.00064766,0.000294734,0.000361718,0.000304919,0.007906293,0.000581946,0.001767151,0.000959269,0.000404418,0.00075156,0.000730494,0.001972173,0.000598174,0.000378249,0.000371499,0.000550405,0.00054068
EGFR_pY1068,0.015269145,0.000667909,0.001151885,0.000515115,0.000814479,0.00922978,0.000305674,0.333098764,0.000263672,0.000314051,0.116456034,0.000379268,0.000756773,0.001239319,0.000736682,0.612967114,0.0016744,0.000603625,0.000524312,0.000699452,0.001521132,0.000303567,0.101676577,0.000875696,0.006471953,0.197610087,0.717715472,0.002248839,0.028063392,0.004832513,0.763129091,0.510319115,0.000376614,0.001643388,0.00657669
