,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.090758904,0.010979138,0.001498813,0.000541301,0.00055751,0.001026137,0.000280459,0.000366079,0.001298576,0.000350746,0.000308693,0.002151061,0.000523447,0.001975735,0.000360209,0.00036712,0.000765585,0.001014933,0.001045311,0.000543916,0.000245909,0.000689495,0.004200503,0.000620676,0.007516967,0.000616714,0.00166035,0.001974231,0.001112536,0.000696048,0.004958828,0.000779618,0.001510087,0.130496366,0.001924324
ACC_pS79,0.004054674,0.000278118,0.000589005,0.000745509,0.000546877,0.00059888,0.000244971,0.000791797,0.001072051,0.00027718,0.000317692,0.000550514,0.000609514,0.000632603,0.002020626,0.00034375,0.000394219,0.004301955,0.000567753,0.000569433,0.00034314,0.000510716,0.000636831,0.000736905,0.001893391,0.000578657,0.000433388,0.001256082,0.000587576,0.000619254,0.000425903,0.000471084,0.000457268,0.000443503,0.000557693
Akt_pS473,0.000249244,0.000396637,0.999744645,0.006481791,0.000557898,0.016564598,2.06E-05,1.61E-05,0.000328233,1.50E-05,1.42E-05,0.001302517,2.22E-05,0.027537648,0.001865383,3.66E-05,0.001887706,0.067733725,7.66E-05,2.54E-05,7.17E-06,1.47E-05,0.000160429,6.84E-05,0.029695814,3.16E-05,0.001011982,0.047807289,0.000252487,2.31E-05,0.004181936,9.90E-05,2.35E-05,0.0394627,8.26E-05
Akt_pT308,0.000268548,0.000352015,0.003002825,0.994156345,0.002819685,0.000407036,9.39E-06,2.07E-05,1.47E-05,1.53E-05,1.52E-05,0.000568414,2.17E-05,0.036462666,0.000668739,0.001220561,0.001279711,0.066350582,7.21E-05,1.84E-05,7.70E-06,1.79E-05,0.000187973,4.63E-05,0.00194723,1.55E-05,0.000351492,0.02966063,0.000296495,7.58E-05,0.000612325,7.62E-05,2.21E-05,0.017045755,2.02E-05
AMPK_pT172,0.02712962,0.091425677,0.000569053,0.000518707,0.007081815,0.001209272,0.000268878,0.005973183,0.000528616,0.000424709,0.000445874,0.000547191,0.000660772,0.000553062,0.003303897,0.000535815,0.000460901,0.001511655,0.217696247,0.000494882,0.000311952,0.000420407,0.000560459,0.000515504,0.000781306,0.000447717,0.000917436,0.000514302,0.000627262,0.000576468,0.000806548,0.001831095,0.000731109,0.000390535,0.000695271
Bad_pS112,0.000530321,0.000625271,0.001108584,0.000547165,0.000346682,0.995017452,0.002162826,0.000371295,0.034757653,0.000386263,0.000482326,0.002044041,0.00227957,0.001151876,0.000374713,0.000412239,0.969557738,0.199943984,0.012748082,0.014887446,0.000310607,0.002711121,0.008404771,0.003087966,0.003905739,0.00072239,0.025153229,0.001496549,0.001226968,0.001467636,0.017548975,0.010708757,0.000714702,0.000968073,0.000973738
c-Met_pY1235,0.000523402,0.000466864,0.000600193,0.00080007,0.000410302,0.000655357,0.001233604,0.017179128,0.000583091,0.000937562,0.000533643,0.000575581,0.000507954,0.001428113,0.000339149,0.115527803,0.000394314,0.000576335,0.001038149,0.000515462,0.000480539,0.012417758,0.002419079,0.000752158,0.000708767,0.012378327,0.203143738,0.000728516,0.001578128,0.00061394,0.226017043,0.412214092,0.000982899,0.000299378,0.000534111
c-Raf_pS338,0.001603965,0.001777626,0.001193066,0.014983958,0.000439833,0.000631769,0.000300591,0.313023963,0.000325791,0.000567294,0.00033622,0.009129146,0.000672606,0.001196015,0.000448672,0.000767546,0.000437505,0.116179429,0.001195634,0.004567144,0.000388384,0.000350536,0.010782594,0.000517166,0.000781838,0.000459981,0.000431966,0.001230121,0.000708779,0.000542873,0.000397842,0.000662384,0.000406013,0.001829091,0.000731008
Chk1_pS345,0.000517794,0.000305099,0.000841509,0.000785999,0.018927758,0.001151928,0.000365091,0.000375385,0.167671264,0.000398019,0.000280944,0.000570581,0.000988614,0.000642258,0.000489816,0.000408386,0.000871301,0.000567597,0.000535965,0.000499981,0.000275255,0.000441803,0.025309649,0.001759043,0.000609917,0.001377339,0.000468063,0.000523362,0.000569092,0.000644668,0.000485244,0.000484213,0.000442632,0.000707253,0.000816671
Chk2_pT68,0.000524232,0.000369532,0.000571009,0.000544235,0.000314224,0.000625544,0.000247742,0.000417738,0.000528042,0.116248032,0.000684541,0.000504209,0.000617479,0.000961618,0.000908695,0.000328292,0.00037603,0.000518562,0.000571326,0.000494724,0.000458016,0.000468851,0.009798895,0.000614128,0.000618647,0.000495455,0.000595891,0.000725305,0.001200022,0.000649121,0.000422133,0.000676119,0.001504475,0.000926331,0.000556084
EGFR_pY1068,0.00077669,0.000289685,0.00079257,0.000529579,0.000298117,0.000871965,0.000331309,0.117105063,0.000336982,0.003135233,0.057169805,0.000694817,0.010742611,0.000533038,0.000414676,0.117875739,0.000602018,0.000612136,0.000716716,0.000493564,0.000284671,0.000550967,0.079169393,0.000462722,0.01219027,0.133505995,0.12733215,0.000502113,0.00058027,0.00057309,0.141181673,0.146453173,0.00171813,0.000325092,0.000552563
EGFR_pY1173,0.000563347,0.000371019,0.001902206,0.001266654,0.000546735,0.000770547,0.000308773,0.00078219,0.000404682,0.000364099,0.001386041,0.000803349,0.000536157,0.000536032,0.000457908,0.003033279,0.001991772,0.001261199,0.000562802,0.000566743,0.000256103,0.000371683,0.206438751,0.000505528,0.001305695,0.023859362,0.003193406,0.000509824,0.000862835,0.000560894,0.001832903,0.001292852,0.003346623,0.000817829,0.00078919
