,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.094914498,0.005607266,0.00077095,0.000533078,0.00037522,0.000782054,0.001778486,0.000535639,0.000684246,0.005460946,0.0006084,0.002264185,0.000424461,0.000949541,0.000543858,0.000713771,0.001170854,0.001710948,0.000536396,0.000350772,0.001763688,0.002328601,0.001275698,0.000602329,0.000796048,0.00059585,0.001794665,0.001180197,0.002246538,0.001023141,0.000629947,0.001519541,0.000799585,0.138248688,0.000436604
ACC_pS79,0.000547563,0.001034418,0.000837242,0.000520893,0.000501385,0.005420482,0.000447385,0.00052242,0.000439699,0.000318484,0.005721455,0.004528076,0.000416256,0.000772929,0.008715905,0.00057849,0.001995432,0.001567095,0.001307153,0.000313785,0.000303264,0.000577429,0.000574484,0.000991439,0.000785361,0.000426966,0.000461698,0.000538361,0.000849098,0.000662822,0.003762342,0.000350296,0.006532714,0.000540268,0.000414986
Akt_pS473,0.000379351,0.000452538,0.999849255,0.005206623,0.000256671,0.163309367,0.009438217,2.50E-05,3.11E-05,0.000281127,0.013210922,0.000819988,4.68E-05,0.738788434,0.001286122,3.83E-05,0.000329214,0.000427468,0.000163015,2.93E-05,0.000294756,0.000269249,8.16E-05,0.000192129,0.000100432,0.000264371,5.20E-05,0.953811481,0.002803883,0.001871875,0.000858916,7.32E-05,6.17E-05,0.902363544,0.00604471
Akt_pT308,0.00021539,0.000238119,0.000711805,0.995391809,0.000256246,0.000879424,0.010401284,8.97E-05,1.73E-05,5.29E-05,0.006234699,0.000317573,4.19E-05,0.240860632,0.002278719,3.26E-05,0.000219923,0.000117185,4.69E-05,2.13E-05,0.000486361,5.05E-05,2.72E-05,0.00018854,9.29E-05,0.000174057,0.000104875,0.220366526,0.003282785,0.000164759,0.000251947,6.01E-05,5.50E-05,0.089075632,0.014837276
AMPK_pT172,0.000572154,0.279869056,0.001279282,0.000802754,0.016499279,0.018785223,0.000323108,0.000853663,0.000374898,0.004394369,0.002842886,0.001128337,0.000441896,0.000774014,0.005809659,0.000413059,0.00131715,0.009184334,0.237412281,0.000296987,0.000239371,0.001161043,0.000790111,0.001483105,0.001343218,0.001850047,0.000304878,0.000671571,0.002041125,0.006380146,0.00070284,0.000433637,0.000752648,0.000647563,0.000888365
Bad_pS112,0.001319101,0.000397678,0.000701337,0.000978935,0.000380938,0.854840156,0.000361554,0.000755569,0.000331071,0.001101764,0.000640735,0.013667788,0.053713394,0.000668622,0.000550346,0.000525403,0.187988504,0.272076098,0.000721295,0.009775399,0.000401118,0.000514164,0.00074762,0.000561798,0.000947051,0.000475808,0.001422334,0.000565905,0.000999094,0.000646434,0.000711391,0.000554396,0.001247605,0.004847708,0.000819796
c-Met_pY1235,0.000632903,0.00070738,0.000689682,0.000645061,0.000529886,0.001055845,0.019621243,0.077018122,0.000286097,0.002661382,0.000587165,0.003912459,0.000406718,0.000670409,0.002349335,0.39387537,0.000592869,0.000508499,0.001393294,0.000282506,0.003192477,0.00262573,0.002209095,0.000551777,0.000970044,0.012018812,0.654683819,0.000564413,0.00181657,0.000602698,0.165001347,0.130003706,0.003677376,0.00054418,0.000855116
c-Raf_pS338,0.00055209,0.00483774,0.000553825,0.000553265,0.00091338,0.00059736,0.00597971,0.777130646,0.000283149,0.000307319,0.000722918,0.000871342,0.05639971,0.000982871,0.000975542,0.000462573,0.000852689,0.282410381,0.020325457,0.000357944,0.000240792,0.000545448,0.001877303,0.000938168,0.000603261,0.000976545,0.000615056,0.000820841,0.003275811,0.003792605,0.000654575,0.000747137,0.000703546,0.001089613,0.00270538
Chk1_pS345,0.000518715,0.001047808,0.000590072,0.000536397,0.112926484,0.006145309,0.000262302,0.000481442,0.139076599,0.000369458,0.001711812,0.001226769,0.000534031,0.000558842,0.001085152,0.000543572,0.000778372,0.002040728,0.003753113,0.000385011,0.000257329,0.000970583,0.000554879,0.000703937,0.000555295,0.000397245,0.000359912,0.000560352,0.001146203,0.00346388,0.000858941,0.000367815,0.000683448,0.000589652,0.000543323
Chk2_pT68,0.000674,0.004831054,0.001108385,0.000843223,0.000714374,0.000879631,0.000462345,0.000936708,0.000415898,0.165255898,0.00056665,0.001741107,0.000452691,0.000563074,0.000874429,0.002156889,0.000533093,0.000511441,0.000583412,0.001057314,0.001152939,0.001301637,0.00834073,0.000554527,0.000545522,0.000515219,0.001453457,0.000547337,0.001114983,0.000724016,0.000636334,0.00092623,0.003960769,0.000869713,0.000732358
