,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.085491611,0.001678875,0.000927407,0.000645176,0.000292564,0.000761407,0.000514398,0.000576477,0.000443364,0.000602276,0.000701318,0.00227522,0.000643992,0.000694597,0.00063326,0.00058231,0.000702279,0.001022689,0.012164187,0.000740327,0.000967024,0.000690219,0.001107517,0.000965666,0.000525913,0.000401255,0.000382715,0.000954539,0.001726555,0.00112159,0.000703521,0.000441219,0.001356877,0.11089036,0.00050027
ACC_pS79,0.000702369,0.000370533,0.000589336,0.000530747,0.000357428,0.001307939,0.000241322,0.000491593,0.000504715,0.001026064,0.000655204,0.000890341,0.000337006,0.000903609,0.00066965,0.000488091,0.001308079,0.002293808,0.000632369,0.000704687,0.000246042,0.000543886,0.003164841,0.000539465,0.000537449,0.000330889,0.000739199,0.000661664,0.000705927,0.000940216,0.00185765,0.000360548,0.00237531,0.001082234,0.000759047
Akt_pS473,0.000157709,2.86E-05,0.999292508,0.005247629,1.35E-05,0.02838579,1.87E-05,0.000206864,1.93E-05,1.35E-05,0.000623096,0.000426696,0.000294123,0.446247822,0.000304712,2.88E-05,0.000400285,0.001061052,0.002269359,0.000200018,2.14E-05,0.000359389,0.00013562,2.66E-05,6.64E-05,0.000830835,1.25E-05,0.879234328,0.000336394,0.000172917,4.87E-05,1.80E-05,0.000149682,0.964746119,0.001194278
Akt_pT308,8.40E-05,2.93E-05,0.001272599,0.995392189,2.34E-05,0.00051639,0.000184628,0.009019975,8.05E-06,1.02E-05,0.000658651,0.000231435,0.000148422,0.900468967,0.000327844,4.31E-05,0.000335851,0.000701267,0.00016237,0.001710251,0.000146646,0.000212879,5.50E-05,2.25E-05,8.10E-05,0.002059858,1.46E-05,0.428036816,0.001421755,2.60E-05,0.00062064,1.42E-05,5.33E-05,0.092156754,0.000617865
AMPK_pT172,0.001394699,0.100548553,0.001967996,0.000622904,0.009672607,0.002372515,0.001202997,0.000859263,0.000342223,0.000324647,0.117632754,0.002602728,0.00028707,0.002150411,0.283276688,0.001300726,0.002205422,0.003845276,0.349414076,0.001145324,0.000389575,0.001069625,0.000586385,0.000853172,0.000525371,0.00056049,0.002576001,0.002688663,0.001007723,0.00208976,0.015236819,0.000910061,0.002239416,0.00074641,0.000969844
Bad_pS112,0.001044257,0.000486531,0.000720424,0.000558215,0.001527752,0.986942092,0.00028929,0.00048344,0.000389934,0.002050982,0.003659974,0.013047346,0.001402836,0.001509841,0.000929572,0.000558637,0.195217016,0.628071405,0.00057276,0.014161682,0.000961975,0.001007853,0.000694661,0.000584448,0.000592234,0.000405833,0.000870545,0.000645571,0.001636209,0.000606264,0.001132675,0.001665121,0.000635387,0.000910048,0.002092289
c-Met_pY1235,0.000691105,0.000343896,0.000700908,0.000639354,0.001333217,0.024904341,0.001906955,0.123425074,0.00026041,0.000404208,0.001894697,0.001539886,0.000285635,0.002180313,0.003994173,0.147715479,0.000543178,0.000541196,0.00076522,0.000577111,0.000351897,0.0005298,0.00272241,0.000828127,0.001019647,0.01304991,0.13618729,0.000616839,0.000880546,0.001536452,0.296903868,0.156882757,0.000847159,0.00053201,0.000490827
c-Raf_pS338,0.001910365,0.00494883,0.000672041,0.001452098,0.000279591,0.000552594,0.000431995,0.864684958,0.000264244,0.000274246,0.000628117,0.000702575,0.000312065,0.000605685,0.000715225,0.002433947,0.0009126,0.091786789,0.007298381,0.000466979,0.000305435,0.001337311,0.00059095,0.000543954,0.001299517,0.000404523,0.000477939,0.00085105,0.000697949,0.000658353,0.002336101,0.000347265,0.00057875,0.001174693,0.000503913
Chk1_pS345,0.000515635,0.000306542,0.000726556,0.00092231,0.037608184,0.000496655,0.000245197,0.000480816,0.089237045,0.004841213,0.007561926,0.004490737,0.000301492,0.00112428,0.001184515,0.000741807,0.000644519,0.001262828,0.000541066,0.002239774,0.000250022,0.000491043,0.000616989,0.000570301,0.001209446,0.000422177,0.001056833,0.000607962,0.000759549,0.000609149,0.001463676,0.000514067,0.000668494,0.000799214,0.004507163
Chk2_pT68,0.000508611,0.016104047,0.000523917,0.000797437,0.001953076,0.001641152,0.000484269,0.002902691,0.000305413,0.12225115,0.000588591,0.000767012,0.000304115,0.000761418,0.000807947,0.000475831,0.000605546,0.000541146,0.000650443,0.000460655,0.000240701,0.000861654,0.010879067,0.000598396,0.001584074,0.000323829,0.000623794,0.00062936,0.000760001,0.000570989,0.00054289,0.000998471,0.001217194,0.001065651,0.007318913
