,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.081683412,0.003231665,0.000957399,0.000509243,0.000314412,0.000586039,0.00267149,0.00076613,0.000355283,0.000751903,0.01298815,0.002512632,0.000438005,0.001375213,0.000967133,0.000687865,0.00184715,0.487323997,0.012830825,0.000532265,0.001791581,0.002894224,0.002931668,0.002188806,0.002454377,0.000667451,0.000551219,0.001002435,0.000486245,0.002227731,0.001907789,0.000358823,0.000628864,0.205881465,0.000570747
ACC_pS79,0.000514395,0.004481674,0.001288973,0.000594247,0.016822734,0.0009109,0.000810953,0.000683557,0.000283772,0.000698164,0.000829474,0.000650875,0.000340755,0.000555004,0.000492946,0.000965089,0.000582532,0.000456733,0.000992495,0.000430045,0.000382772,0.000714971,0.01529819,0.000714798,0.000544435,0.00040776,0.000536119,0.000570482,0.010259726,0.000550152,0.003291932,0.000341394,0.000813315,0.000387422,0.000607587
Akt_pS473,0.000137865,3.26E-05,0.999944439,0.004599278,2.31E-05,0.11028361,0.000585564,0.000220057,1.27E-05,0.000248751,0.022078375,0.000183201,3.99E-05,0.964282365,0.004415183,5.81E-05,0.000376382,0.002401395,0.000633432,0.013616495,6.04E-05,0.063760835,0.000160957,6.29E-05,0.002205729,0.012276214,4.65E-05,0.983173771,0.000152359,5.40E-05,0.719865536,0.000145639,5.42E-05,0.240393217,0.000251346
Akt_pT308,8.46E-05,1.57E-05,0.000695246,0.996068361,1.96E-05,0.005771702,1.18E-05,0.000140218,8.49E-06,6.62E-05,0.000522351,0.000106544,0.000113984,0.3460506,0.000997013,0.000111795,0.000143491,0.000163083,5.45E-05,0.168284091,1.75E-05,0.002049804,5.13E-05,2.75E-05,0.00024077,0.00431032,3.16E-05,0.227912509,0.000131565,1.91E-05,0.082351939,0.000136108,3.73E-05,0.035200943,0.000144669
AMPK_pT172,0.00053425,0.163241863,0.000574548,0.000540704,0.003864297,0.003311945,0.001599604,0.000217658,0.00028697,0.023927126,0.000581409,0.0368513,0.005832149,0.000566724,0.000972425,0.010402579,0.000639051,0.000756433,0.100013506,0.001515449,0.001123328,0.001371383,0.00303732,0.00152217,0.001623576,0.000386062,0.001178857,0.000543962,0.002621738,0.000590366,0.001370348,0.000342319,0.001854302,0.000385325,0.004082086
Bad_pS112,0.00059772,0.00036231,0.00053915,0.000542847,0.000300257,0.961744468,0.00031615,0.000262387,0.000275778,0.000636023,0.000557271,0.001094024,0.003371906,0.001452567,0.000513695,0.002094705,0.189174858,0.221900269,0.000800639,0.02970651,0.000365029,0.027804334,0.000685875,0.000692816,0.000598654,0.001420259,0.000655894,0.003089413,0.001162424,0.000602905,0.001148142,0.000518312,0.000503426,0.001305558,0.0004955
c-Met_pY1235,0.000853305,0.003522314,0.000872807,0.000548351,0.000509468,0.001909763,0.011797346,0.027787968,0.000362969,0.000860188,0.000633342,0.078792679,0.000380711,0.000661261,0.00049746,0.913171682,0.000607624,0.000626012,0.002966532,0.000411912,0.000394699,0.000622378,0.012921892,0.000945307,0.000588029,0.016067856,0.190112018,0.000877711,0.002720917,0.000958023,0.207605415,0.136533973,0.005344657,0.000463479,0.000500487
c-Raf_pS338,0.000634121,0.105508302,0.000849973,0.000718876,0.057106162,0.001469881,0.000298019,0.99223423,0.000517081,0.001317442,0.000858424,0.000839357,0.000286757,0.002839458,0.000710199,0.001076575,0.000546767,0.113810566,0.000540419,0.000427221,0.000466572,0.000891089,0.00093201,0.00233419,0.000556168,0.022709351,0.000485597,0.000537584,0.000452803,0.00065484,0.001808169,0.001346222,0.000625794,0.000673332,0.000820896
Chk1_pS345,0.000506695,0.00964691,0.000538941,0.000588685,0.075019419,0.001684234,0.000283524,0.000242319,0.118997537,0.020851997,0.000571562,0.001096339,0.000683314,0.000599138,0.000535193,0.003023103,0.000568637,0.000482592,0.001155633,0.00181549,0.001864329,0.000593296,0.003098681,0.000742935,0.004391329,0.00042475,0.004979571,0.000632944,0.000547845,0.0005771,0.000709152,0.000540655,0.000653273,0.000381809,0.001839061
Chk2_pT68,0.000524154,0.088019386,0.000798409,0.000561307,0.003034354,0.000845631,0.004739564,0.000374069,0.000314651,0.896978833,0.001174957,0.001645638,0.000304903,0.000667351,0.000621965,0.001311521,0.000543485,0.000637051,0.001085531,0.000425294,0.000365193,0.000725775,0.028920996,0.00210166,0.000705765,0.000636974,0.000687968,0.000778036,0.001030567,0.001031217,0.000631113,0.000430674,0.005024564,0.000551119,0.000748883
EGFR_pY1068,0.00078127,0.003532672,0.000667185,0.000741323,0.001508176,0.000687775,0.000283892,0.663037391,0.000631954,0.000680515,0.182628252,0.001354264,0.000953483,0.05143833,0.002957814,0.373329561,0.000574119,0.001959718,0.000586251,0.000806369,0.000307857,0.001841881,0.065064571,0.000754744,0.000593919,0.151493011,0.50760728,0.000775706,0.000470671,0.000691963,0.234364853,0.194496346,0.000986712,0.022252785,0.01240609
EGFR_pY1173,0.000526664,0.000468483,0.000543577,0.000805967,0.000507898,0.00332839,0.00025272,0.001154095,0.00055929,0.000514663,0.000560327,0.001234851,0.002449856,0.000627941,0.000606369,0.009145269,0.002729614,0.004567441,0.0006148,0.000943584,0.000265665,0.000648786,0.789879166,0.002129196,0.00058714,0.029636112,0.001265939,0.00079547,0.000463499,0.004316222,0.001803852,0.000593429,0.001183614,0.002279191,0.000708066
ER-alpha_pS118,0.000545976,0.003617949,0.001278559,0.001578173,0.000351059,0.000831197,0.001357033,0.000345043,0.000479731,0.005677729,0.00713096,0.00164804,0.141311557,0.000626002,0.000942999,0.000593053,0.000638783,0.000458049,0.000560787,0.000638106,0.000603237,0.000593456,0.000630232,0.000772434,0.239003019,0.000378143,0.002619638,0.002424535,0.001084047,0.000826885,0.000819111,0.000332349,0.000522768,0.000535757,0.000826521
GSK3-alpha-beta_pS21_S9,0.001365964,0.001177699,0.0005422,0.00055182,0.00029745,0.001262082,0.016834455,0.000540499,0.000268819,0.000743441,0.011225262,0.0005789,0.001993716,0.001246499,0.003121631,0.000696735,0.000565465,0.001385607,0.209947538,0.001068218,0.001000001,0.001094049,0.000615445,0.002091008,0.000827656,0.000533161,0.00053003,0.000626983,0.000700562,0.001204606,0.002734919,0.000372434,0.000575535,0.000900656,0.000786419
HER2_pY1248,0.000941086,0.000406082,0.002473799,0.000711283,0.000645905,0.001223899,0.000280605,0.865537371,0.001246636,0.00180116,0.000660259,0.001280278,0.011835157,0.001645983,0.00587566,0.558243279,0.00143528,0.001265873,0.001111674,0.000430709,0.000259908,0.001079685,0.239694642,0.000585923,0.000631679,0.027364358,0.697420298,0.00213592,0.013324691,0.000626894,0.381010827,0.212891239,0.002758059,0.072106619,0.001580126
JNK_pT183_pT185,0.000655788,0.037674508,0.00082064,0.001223368,0.000448204,0.00184284,0.000325875,0.000272127,0.000839988,0.008220768,0.000618641,0.007207657,0.000309196,0.000761801,0.000522097,0.000651131,0.00054014,0.000768053,0.001794316,0.000839438,0.000734098,0.000834573,0.000640718,0.001094165,0.000652594,0.000471398,0.002470713,0.000760157,0.000479585,0.001067349,0.000507692,0.000442414,0.000779028,0.000595322,0.000498263
MAPK_pT202_Y204,0.000844925,0.002570662,0.001059519,0.00099552,0.000346156,0.054158998,0.000748814,0.024371777,0.000311017,0.001142297,0.58076007,0.325316863,0.000679365,0.00163537,0.953052631,0.000815057,0.319802457,0.518930656,0.179104634,0.000952232,0.000536444,0.000899234,0.001123464,0.000644673,0.996989706,0.00077191,0.000719543,0.000581733,0.005214122,0.000768439,0.007778559,0.00035538,0.004873538,0.00488053,0.000653905
