,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.083442535,0.004475939,0.000773248,0.000540119,0.000341055,0.002153023,0.000552704,0.00061297,0.000292162,0.000349001,0.000968466,0.002181378,0.000617169,0.002417186,0.000784226,0.000677539,0.000921168,0.001143057,0.011357469,0.001393979,0.003157819,0.000597621,0.001118609,0.000699586,0.000842918,0.000518511,0.002012609,0.002062476,0.011482559,0.00091001,0.000837164,0.000695252,0.001133121,0.299011619,0.001411822
ACC_pS79,0.00058614,0.000746778,0.000831305,0.000583852,0.000477744,0.000669601,0.000442676,0.00056005,0.000373177,0.000282802,0.00053846,0.001310375,0.000388789,0.000609423,0.000503006,0.000423225,0.001565946,0.005548493,0.00062825,0.00057713,0.00028759,0.000512009,0.000753629,0.001033301,0.000536061,0.000454778,0.000473546,0.001266894,0.000624844,0.000942573,0.000652206,0.001074089,0.000940656,0.000671276,0.001937308
Akt_pS473,0.000178598,0.001270167,0.998859615,0.004296402,1.76E-05,0.105404991,2.85E-05,0.000122283,9.05E-06,2.65E-05,0.000890244,0.000262338,0.001715705,0.804215101,0.0002658,0.000146783,0.000175967,0.000107895,0.000103422,0.000517499,0.000125528,5.20E-05,6.44E-05,3.36E-05,4.00E-05,1.96E-05,8.15E-05,0.975133317,0.000189629,1.92E-05,0.000753044,3.99E-05,5.33E-05,0.564050078,0.000446659
Akt_pT308,0.000176775,0.00019936,0.00175992,0.996409568,5.86E-05,0.0004551,1.63E-05,0.000719455,9.21E-06,5.08E-05,0.000415827,0.000131222,0.001691242,0.319069738,0.00014921,0.001534335,0.000103486,0.000133568,6.15E-05,6.14E-05,0.000190932,2.72E-05,0.000105237,3.25E-05,6.24E-05,1.09E-05,2.30E-05,0.195094413,0.000224762,1.65E-05,0.000405597,3.82E-05,5.64E-05,0.069036574,9.97E-05
AMPK_pT172,0.001626375,0.642203089,0.00060964,0.00051575,0.019474628,0.000607278,0.00883558,0.001563394,0.000520709,0.02477428,0.000838651,0.000623657,0.001214876,0.000997283,0.001232921,0.000940082,0.000625759,0.000840741,0.115915325,0.000404525,0.00027986,0.000532192,0.00069691,0.000680091,0.000552343,0.000341028,0.002027276,0.000808716,0.001518756,0.0005683,0.001459101,0.000972243,0.00128564,0.000586356,0.000482477
Bad_pS112,0.00079712,0.000986687,0.000664492,0.000534793,0.00267472,0.949740542,0.000365974,0.000607638,0.000264398,0.000578281,0.004680853,0.005609074,0.001468365,0.001675096,0.003583603,0.005016733,0.2077057,0.230575594,0.003971291,0.027446953,0.000380007,0.000794941,0.000583565,0.000738385,0.000545629,0.000454048,0.002664086,0.000589113,0.001498455,0.0009694,0.001217948,0.001724398,0.001487355,0.001245882,0.003807788
c-Met_pY1235,0.001042742,0.000436,0.000721223,0.001836521,0.000466412,0.000832117,0.001583905,0.051057021,0.000830422,0.000284098,0.001320557,0.000712593,0.000382482,0.000602477,0.000558989,0.149539817,0.000620391,0.000840287,0.000531665,0.000298068,0.000288646,0.000689387,0.002864252,0.000637328,0.000972804,0.015183896,0.382966197,0.000989541,0.000998183,0.000811007,0.574771155,0.142461562,0.001933705,0.000485393,0.000715446
c-Raf_pS338,0.001458743,0.001484779,0.000581045,0.000631849,0.000546805,0.000507146,0.000320777,0.980662406,0.000261953,0.000354929,0.000627442,0.001597264,0.000344802,0.000695396,0.000701483,0.007771428,0.00097849,0.074923201,0.001319988,0.000293456,0.001181996,0.000763583,0.001008035,0.000542886,0.000665738,0.000347502,0.000458468,0.000602782,0.00090864,0.001234251,0.000570774,0.000453377,0.000643234,0.000525991,0.000502779
Chk1_pS345,0.001340895,0.000628235,0.000610866,0.000514191,0.25187826,0.000517557,0.00094833,0.00056231,0.092065845,0.000289623,0.002374624,0.000655879,0.001717722,0.000892028,0.009317366,0.00043072,0.000962302,0.000462608,0.000594821,0.000539076,0.000409267,0.000564638,0.000640934,0.000545023,0.000676816,0.001648164,0.00069791,0.001022421,0.013789424,0.000619785,0.001987522,0.00151211,0.000637918,0.001619146,0.000719542
Chk2_pT68,0.021252514,0.001336005,0.000611189,0.000851663,0.000446308,0.000741778,0.000888272,0.001456795,0.000494225,0.132767355,0.00062394,0.00178571,0.000485885,0.037366426,0.000593057,0.001513886,0.000574051,0.000480928,0.000517057,0.000835673,0.001918052,0.000509971,0.009425936,0.000570482,0.000611911,0.001480023,0.002496882,0.000971879,0.006098829,0.000547784,0.00103606,0.000395515,0.000750493,0.005347917,0.000639525
EGFR_pY1068,0.000592189,0.000571263,0.000614693,0.000565456,0.027103705,0.000806507,0.000394077,0.158663409,0.000264203,0.000446959,0.121508595,0.00203053,0.000309942,0.000578841,0.000987143,0.284896305,0.003991014,0.000798266,0.003996884,0.000328914,0.00869498,0.000766969,0.046070474,0.000657396,0.000545438,0.096668234,0.177987231,0.000618635,0.002556589,0.000846146,0.434723789,0.229594341,0.00121978,0.00052414,0.001700566
EGFR_pY1173,0.000707454,0.000571694,0.000677444,0.000670369,0.009158827,0.001009628,0.000423967,0.001170836,0.000285027,0.001809004,0.001376149,0.003912911,0.000335201,0.000583682,0.000600441,0.006755165,0.000994995,0.000624951,0.006705916,0.000438812,0.003494332,0.000740852,0.184023096,0.00084141,0.00055,0.022127944,0.001272267,0.000556955,0.003488132,0.000792392,0.002110501,0.001054567,0.002687985,0.000716527,0.002619707
ER-alpha_pS118,0.000514459,0.002491458,0.000586282,0.000508385,0.000477904,0.000659845,0.000312438,0.000542809,0.000264611,0.000324274,0.002930608,0.000781665,0.249950919,0.000784713,0.000545798,0.000595492,0.001338139,0.028146675,0.000501534,0.000294615,0.000282067,0.000486873,0.002078728,0.000604037,0.170680314,0.000340978,0.004291068,0.000962489,0.000610047,0.000533655,0.001618141,0.000450772,0.000857565,0.000531566,0.001017486
GSK3-alpha-beta_pS21_S9,0.000563228,0.01843022,0.000630321,0.000518107,0.000437889,0.001893394,0.001175267,0.0005931,0.000295194,0.000339471,0.000602995,0.001288926,0.000432904,0.00099675,0.000536703,0.000428703,0.000601062,0.000548097,0.069909956,0.0049905,0.004487838,0.000492953,0.000588529,0.000610952,0.000643112,0.00041748,0.002137,0.000570706,0.00398755,0.000550224,0.000689943,0.000433664,0.000719279,0.001858421,0.001341909
HER2_pY1248,0.000660008,0.000881845,0.000605168,0.000561219,0.023150234,0.000942969,0.000375377,0.191504026,0.000266518,0.000426093,0.001252607,0.003522245,0.000318864,0.000583247,0.002249411,0.257155705,0.002144502,0.00063864,0.002075878,0.000385198,0.005303834,0.000688852,0.160677456,0.000574118,0.000537478,0.024429451,0.164370742,0.000560941,0.095187962,0.000916527,0.354281389,0.199756905,0.003041878,0.000592989,0.001686838
JNK_pT183_pT185,0.000553326,0.003398809,0.000651423,0.000529046,0.000430606,0.000714128,0.000418182,0.041955514,0.000292296,0.000380682,0.001398062,0.001202182,0.00111303,0.000580104,0.004044899,0.00184543,0.002214728,0.001400782,0.000518025,0.000337343,0.000406956,0.000546292,0.001024564,0.000679226,0.033832318,0.000872163,0.000544621,0.000807212,0.000986403,0.000818369,0.005324554,0.003031558,0.001027394,0.001432425,0.00068518
MAPK_pT202_Y204,0.00239807,0.000444569,0.000703946,0.001642236,0.002721548,0.285584377,0.00045548,0.015019365,0.000319392,0.000334952,0.66962224,0.301626465,0.000306615,0.000658376,0.972750971,0.000544301,0.59175334,0.302733099,0.242368277,0.000507874,0.001709488,0.000496847,0.000609952,0.000621271,0.998863914,0.000408727,0.000673902,0.00062173,0.026605573,0.000699193,0.421311502,0.000557991,0.010428852,0.000791279,0.000706702
MEK1_pS217_S221,0.000986931,7.32E-05,0.0009769,0.001712968,0.000674457,0.00624331,7.78E-05,0.000154346,0.00010789,0.000105999,0.353798477,0.68115319,7.19E-05,0.000926283,0.029475905,0.000131301,0.549472678,0.182127759,0.000408669,0.000390259,0.000462442,0.000122763,0.000126901,9.97E-05,0.001042345,0.000173083,0.000199086,0.00144607,0.001243462,0.000145463,0.042968472,8.41E-05,0.000741908,0.000626541,0.092095252
mTOR_pS2448,0.998242503,0.000127124,0.4859202,0.034850714,1.45E-05,0.000446294,1.15E-05,0.001531338,4.89E-05,0.000132261,7.78E-05,0.000128788,0.000146479,0.000343119,5.41E-05,0.000582105,2.84E-05,7.60E-05,0.001004732,1.86E-05,0.000419269,9.66E-05,0.000355201,0.019886431,5.84E-05,3.69E-05,8.95E-05,0.012796754,0.000287738,0.001338014,5.28E-05,2.86E-05,0.000131184,7.28E-05,9.44E-05
NF-kB-p65_pS536,0.000517656,0.001380683,0.001294571,0.000511076,0.000807939,0.001408881,0.00044527,0.00186808,0.000265254,0.000283523,0.028918125,0.028025394,0.000554342,0.001119239,0.004107137,0.000425604,0.008210111,0.003316162,0.00050569,0.137088224,0.000253464,0.000579888,0.000528009,0.000800124,0.004122652,0.000591642,0.000600728,0.000585244,0.000802522,0.000536989,0.001628475,0.000943281,0.001736899,0.004866737,0.000693988
p27_pT157,0.000526377,0.000621405,0.00158355,0.003239285,0.000885789,0.006194708,0.000244197,0.000522211,0.004062598,0.000338363,0.000673384,0.000851704,0.000382363,0.000838613,0.000517823,0.003153194,0.000904406,0.000543352,0.000694785,0.000478451,0.00029592,0.001861006,0.10662908,0.000600026,0.002856138,0.000404922,0.000796718,0.00056423,0.000750874,0.001430706,0.001919473,0.000754626,0.000602744,0.000682978,0.000515857
p27_pT198,0.000810558,0.000535431,0.000597599,0.000532534,0.000348017,0.002615682,0.000296111,0.000519582,0.000266328,0.000282612,0.00183076,0.001939498,0.000424265,0.000893446,0.002908296,0.000421862,0.000851093,0.000582652,0.001213519,0.001208571,0.000475195,0.000507121,0.001168442,0.000610183,0.001096896,0.000468862,0.001109026,0.000555968,0.001970314,0.000650978,0.000865341,0.000676301,0.00065873,0.000842841,0.0005784
p38_pT180_Y182,0.003125732,0.000456945,0.000604764,0.000595168,0.00034942,0.001076171,0.000357622,0.063610479,0.000275313,0.001680611,0.000791546,0.000771104,0.000317542,0.030163737,0.001042339,0.000404402,0.011916421,0.230549668,0.000635736,0.000331576,0.000373875,0.000490432,0.000959444,0.000637404,0.001832026,0.006867092,0.000857165,0.033923588,0.000833407,0.001009171,0.004934456,0.000376663,0.001160647,0.002292734,0.010506766
p70S6K_pT389,0.000596355,0.002505102,0.000661265,0.000518799,0.000375864,0.010910991,0.000471639,0.000918849,0.000283511,0.000796909,0.001246992,0.507609717,0.000622029,0.387993305,0.001136199,0.000518121,0.000859561,0.002411461,0.50601261,0.001186852,0.00138723,0.998326186,0.006657492,0.999820727,0.000546743,0.264501919,0.001273142,0.247260506,0.001689141,0.23859619,0.000919667,0.000667755,0.000768016,0.001254365,0.001182526
p90RSK_pT359_S363,0.000688701,0.000861825,0.000649649,0.000632764,0.009618463,0.284556195,0.000422691,0.000561458,0.000264949,0.00032373,0.001568999,0.023176406,0.000310973,0.006515919,0.001054452,0.000771966,0.002392802,0.000645687,0.082052309,0.000396008,0.014133762,0.000789614,0.000899063,0.000601665,0.002426888,0.000512085,0.000775718,0.000566275,0.747222503,0.317348391,0.00182741,0.000727153,0.004270701,0.000657628,0.002280988
PDK1_pS241,0.000735056,0.000554381,0.238206131,0.069440277,0.001571785,0.000632234,0.000282839,0.000557304,0.000409603,0.000631862,0.000838823,0.000662482,0.0014978,0.001053974,0.001332981,0.000592601,0.000554997,0.000487032,0.00057179,0.000309088,0.000264721,0.000499149,0.000577217,0.237419245,0.000563419,0.000422433,0.012958202,0.000805902,0.001002062,0.001215643,0.000720523,0.000577623,0.000883311,0.000594416,0.000770038
PKC-alpha_pS657,0.000515701,0.000584911,0.000910908,0.000648117,0.000956363,0.001857926,0.001230887,0.000668874,0.000407705,0.000380744,0.005689923,0.011402632,0.000307283,0.000766238,0.002280652,0.000567374,0.000709464,0.000693316,0.00053356,0.000527685,0.000255403,0.000800263,0.001015965,0.000591105,0.002077564,0.000351147,0.007511991,0.001371678,0.000773338,0.000753282,0.006913139,0.001671722,0.00066513,0.000517705,0.001124394
