,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.118665116,0.002741258,0.000691489,0.000846967,0.000306926,0.000625269,0.000535932,0.000670786,0.000768486,0.000646416,0.000524332,0.002849591,0.000614337,0.001277131,0.000504449,0.000408616,0.003268127,0.019344277,0.00078758,0.000509437,0.00036437,0.00106084,0.01169459,0.000607315,0.002123294,0.000508603,0.000408721,0.002397998,0.001773996,0.000669119,0.000534336,0.000655241,0.000582152,0.26409242,0.000500475
ACC_pS79,0.000607454,0.004025508,0.000559985,0.000543823,0.009501169,0.000535432,0.037802073,0.000589664,0.000737287,0.001129495,0.000920824,0.000622587,0.002236491,0.001326541,0.002259008,0.000475591,0.000521604,0.000448529,0.000490578,0.000312809,0.00025974,0.000899613,0.000591581,0.00072211,0.00227744,0.000419287,0.001190428,0.001538468,0.05001088,0.000577752,0.000545867,0.000471358,0.000599648,0.001880072,0.000681905
Akt_pS473,0.001101417,4.19E-05,0.999871152,0.005329728,3.36E-05,0.018482222,0.000109027,9.66E-05,0.000164658,2.27E-05,6.98E-05,0.000542078,0.000733717,0.783154302,8.26E-05,2.28E-05,0.000979919,0.000214418,0.000570817,0.000187402,0.000249754,0.000293962,0.002302407,4.74E-05,0.001627935,3.67E-05,2.46E-05,0.980182389,7.39E-05,0.000366508,4.70E-05,0.000171136,5.45E-05,0.101503184,6.25E-05
Akt_pT308,9.21E-05,6.58E-05,0.000693384,0.995450582,7.38E-05,0.000414875,0.000112269,0.000144889,0.000434563,2.52E-05,7.05E-05,0.00025575,0.000620646,0.173620324,8.27E-05,3.49E-05,0.000283694,4.23E-05,3.27E-05,0.001140772,0.000126684,0.000322654,0.000160963,3.85E-05,0.001671278,0.000101178,4.25E-05,0.163774912,6.46E-05,3.10E-05,8.91E-05,0.000208412,0.000201618,0.019643891,0.000128825
AMPK_pT172,0.000700301,0.567110036,0.000623747,0.000810973,0.021627725,0.000592141,0.000831705,0.000548117,0.00069307,0.000669695,0.001881596,0.013184578,0.000465345,0.00061068,0.000816254,0.000420486,0.001622566,0.00074887,0.217100889,0.000302991,0.000273592,0.000557732,0.00045364,0.002085043,0.001647093,0.000378936,0.001206618,0.000551153,0.004125804,0.007047656,0.00300784,0.001088567,0.000862689,0.000414459,0.000582347
Bad_pS112,0.002664258,0.00133357,0.000570483,0.000526952,0.003906957,0.999954306,0.002317745,0.003312474,0.000654916,0.000670113,0.000611439,0.002264168,0.001830843,0.000612622,0.000529893,0.000579683,0.359815045,0.249300367,0.000620562,0.01132689,0.000473032,0.000522332,0.005660331,0.000717554,0.000788568,0.000758079,0.007576904,0.000537096,0.001028969,0.000690057,0.00057078,0.001697889,0.000608122,0.00153261,0.000548236
c-Met_pY1235,0.000551017,0.016259448,0.000551239,0.000878247,0.004732255,0.000571673,0.025324118,0.050344613,0.000454437,0.003782475,0.000769064,0.000655375,0.000276741,0.000535008,0.000786522,0.240416753,0.000536644,0.001003033,0.000503752,0.000550629,0.000287209,0.009063149,0.005498458,0.000596927,0.000695023,0.013154266,0.389660374,0.000713184,0.003784754,0.000525059,0.180906938,0.229055464,0.000664669,0.000623187,0.001441976
c-Raf_pS338,0.002169867,0.762678464,0.000610382,0.002867569,0.003349992,0.000627011,0.019789183,0.754527509,0.000476627,0.017732741,0.000639792,0.00077176,0.000331915,0.000536404,0.000798986,0.001143217,0.000760247,0.091129717,0.000610267,0.000347008,0.000250923,0.002466193,0.00070322,0.001310801,0.00097871,0.000448882,0.001365301,0.000907541,0.002551913,0.000926161,0.000564359,0.000782474,0.000879091,0.000425778,0.001705552
Chk1_pS345,0.000642329,0.000835902,0.000602631,0.000691324,0.044970303,0.000513534,0.000512425,0.000554585,0.755731939,0.000807227,0.000544658,0.000744506,0.000329624,0.00096035,0.00048969,0.000499525,0.00057975,0.000715592,0.006498407,0.000323016,0.000304544,0.000495671,0.000477968,0.00085525,0.001018949,0.00137753,0.000415367,0.000593613,0.000580417,0.00203089,0.000752204,0.001225403,0.00078365,0.000413523,0.000880874
Chk2_pT68,0.000526943,0.001808477,0.000714683,0.012451909,0.06825651,0.001496846,0.018374353,0.000615179,0.000635984,0.999919063,0.000639715,0.000886999,0.000490029,0.000958493,0.000495296,0.000627951,0.000817731,0.000438629,0.000577097,0.001969284,0.000284813,0.001666021,0.010374376,0.000625092,0.000522947,0.000346875,0.019799407,0.00060906,0.000914111,0.00052613,0.001605075,0.002438852,0.001609876,0.000401404,0.002922136
