,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.351898991,0.002942238,0.002576318,0.001614887,0.000275013,0.000969334,0.003341893,0.000345385,0.000327456,0.000878803,0.001081133,0.002186259,0.001003979,0.000826072,0.001402193,0.003924474,9.53E-05,0.000431081,0.001397179,0.000754554,0.00111568,0.010520764,0.001128895,0.002942049,0.000694711,0.001557125,0.001967378,0.002144124,0.000587861,0.003289772,0.001310427,0.002172442,0.000551482,0.212914648,0.000797475
ACC_pS79,0.000580242,0.000805242,0.000719806,0.003640745,0.00038388,0.000900188,0.000376184,0.000341749,0.000298337,0.000908882,0.000609578,0.00126397,0.001089032,0.000865698,0.000859901,0.000900257,0.000140435,0.000489655,0.000359522,0.000733428,0.000406408,0.010887283,0.000764105,0.000863888,0.000597512,0.000520166,0.000472845,0.000554371,0.000619214,0.000625133,0.00049033,0.000411962,0.005320952,0.00533334,0.000931494
Akt_pS473,4.20E-05,0.00027902,0.999849158,0.746048506,1.45E-05,0.698704742,0.021471189,2.64E-05,0.000331892,0.02712355,0.000156612,0.272948976,0.000234938,0.977405435,0.000448669,0.002066373,0.000258011,9.14E-05,0.00024827,5.26E-05,0.328814698,0.000900957,0.00011261,2.91E-05,5.96E-05,4.77E-05,5.10E-05,0.238745266,0.000669528,3.11E-05,0.087168786,2.56E-05,0.019686815,0.207199364,0.00088034
Akt_pT308,3.34E-05,0.000565196,0.0021699,0.575200575,1.67E-05,0.019135929,0.012307892,3.82E-05,0.000371926,0.028608176,0.000146869,0.030875023,0.003381412,0.56100692,0.000396163,0.000174839,0.000365201,8.20E-05,0.000110817,5.03E-05,0.053346369,0.005768186,0.000161656,3.43E-05,7.57E-05,7.17E-05,5.84E-05,0.09379712,0.000892342,1.90E-05,0.046667709,2.88E-05,0.005179175,0.103323809,0.001553311
AMPK_pT172,0.004500882,0.173930021,0.000521668,0.00107118,0.002548001,0.000536805,0.00092379,0.000646266,0.000264365,0.001967106,0.000691373,0.000662902,0.000562553,0.000512733,0.000678159,0.000381988,0.000150299,0.001960041,0.41458924,0.006576357,0.000439711,0.00047154,0.001250039,0.000799916,0.001006466,0.000468935,0.032698238,0.005979925,0.000917695,0.025200406,0.003776892,0.003487151,0.000701258,0.000435689,0.001779866
Bad_pS112,0.001058148,0.000607117,0.002223898,0.001174,0.000297282,0.464607394,0.000396607,0.000350112,0.000308434,0.00180625,0.000721745,0.001049241,0.019116618,0.000593083,0.000568624,0.000844021,0.137513825,0.681735461,0.000440238,0.061645415,0.020371521,0.003745774,0.000581562,0.000625244,0.001223439,0.000762146,0.000375102,0.001042886,0.133762329,0.000885393,0.000551856,0.004643429,0.000546073,0.001963808,0.001253611
c-Met_pY1235,0.000737233,0.002736254,0.000570347,0.000938129,0.000395265,0.004343936,0.017325592,0.01936877,0.000279745,0.000806814,0.000679854,0.000645638,0.001165547,0.000507993,0.000700184,0.331648961,0.000105696,0.001776434,0.000647041,0.000757631,0.00234503,0.000755224,0.002485102,0.00139644,0.000841605,0.020538749,0.112982575,0.000855361,0.000949422,0.000545522,0.272364312,0.154914761,0.001319511,0.000819602,0.002958787
c-Raf_pS338,0.000624486,0.00036717,0.00065939,0.001217778,0.000620073,0.000667698,0.000289661,0.193094102,0.000267937,0.000815551,0.000730989,0.001283511,0.013304284,0.000665297,0.001150842,0.0011731,0.000103844,0.108910064,0.000580354,0.000850486,0.00045896,0.000951637,0.005720273,0.00056577,0.000669608,0.005057687,0.000393589,0.001013349,0.001098678,0.001080058,0.000987846,0.000542625,0.000557985,0.000608854,0.00069563
Chk1_pS345,0.000839883,0.000334743,0.000573666,0.000955239,0.022565842,0.000553107,0.000326916,0.000924682,0.089479047,0.000557151,0.000544344,0.000714402,0.000570711,0.000573366,0.000518696,0.001257196,0.000134076,0.000678499,0.000388965,0.001988425,0.000407443,0.000551556,0.000518972,0.000603699,0.000595264,0.00206457,0.00034448,0.000742677,0.000698603,0.000609633,0.000603406,0.00046343,0.003166128,0.003897147,0.000646318
Chk2_pT68,0.000571674,0.000417231,0.000599041,0.000667864,0.000412722,0.00053426,0.000666677,0.000548668,0.005549733,0.946471893,0.00202736,0.001171135,0.005318974,0.000504219,0.004436189,0.000597205,0.000863771,0.078910782,0.000761388,0.000942963,0.000753417,0.000575201,0.009883948,0.000546109,0.002190767,0.000555448,0.000379177,0.001166857,0.000700106,0.000529494,0.000580562,0.002089431,0.000728186,0.000845755,0.000734885
