,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.105749139,0.001982031,0.001389709,0.000562764,0.000301327,0.000632575,0.000535244,0.000697452,0.000418697,0.000636928,0.000606393,0.036434484,0.000479119,0.000661844,0.000615964,0.000515262,0.002173917,0.001103465,0.009242813,0.000365276,0.000422711,0.001144144,0.001339834,0.00080094,0.002038374,0.011743784,0.000686993,0.002419479,0.000581047,0.002784253,0.000809888,0.010165246,0.008497035,0.243003889,0.000604622
ACC_pS79,0.001464894,0.006639269,0.00310024,0.000513696,0.008552995,0.000884579,0.004858263,0.002276797,0.00052596,0.000540183,0.000522544,0.000583098,0.001038908,0.00083987,0.000718647,0.001701702,0.000554925,0.00051936,0.00102632,0.000491312,0.0002586,0.000532844,0.11984129,0.005607262,0.000802845,0.001337214,0.000603629,0.000667466,0.057888699,0.001325537,0.000667557,0.000385136,0.0016818,0.000630452,0.000592336
Akt_pS473,4.55E-05,2.01E-05,0.999019216,0.005958606,1.05E-05,0.027625259,5.67E-05,0.000396973,2.21E-05,3.56E-05,9.63E-05,0.002771684,0.00086637,0.715455408,0.000135225,0.000176582,0.000555691,8.48E-05,0.000506904,0.000122399,3.22E-05,0.000291581,7.79E-05,0.00236876,0.001092255,0.000998047,8.52E-05,0.371439359,3.73E-05,0.00018179,0.013710084,0.000154976,0.005869038,0.647645568,3.05E-05
Akt_pT308,2.80E-05,2.23E-05,0.00156975,0.994653133,2.84E-05,0.000289651,3.20E-05,0.000243636,2.73E-05,5.23E-05,9.32E-05,0.000363942,0.000747335,0.520977801,6.40E-05,0.000266659,0.000161376,3.58E-05,3.91E-05,0.000173254,2.32E-05,0.00010921,6.49E-05,0.002975515,2.66E-05,4.59E-05,4.83E-05,0.098804683,0.000211225,5.01E-05,0.010574944,1.38E-05,0.003179402,0.118984578,1.87E-05
AMPK_pT172,0.001184854,0.754869148,0.004247652,0.000565107,0.006158747,0.000545535,0.000720419,0.001849608,0.001426728,0.00053448,0.001042743,0.001075922,0.002061964,0.000556142,0.000494309,0.001084825,0.000607194,0.000608315,0.214205702,0.000697417,0.000378522,0.000650402,0.013633027,0.026524588,0.001603497,0.000624252,0.000672386,0.000540169,0.004729016,0.006358559,0.00112396,0.000475092,0.000910314,0.000692811,0.000554198
Bad_pS112,0.000724087,0.000982611,0.000718096,0.000528303,0.000354267,0.99976833,0.000716073,0.000570842,0.00031311,0.000675266,0.001028103,0.000977944,0.002141417,0.000699902,0.000653493,0.000799025,0.309630921,0.595242035,0.000669522,0.015970204,0.00024489,0.004590801,0.003250359,0.068442113,0.000745708,0.000878293,0.004470385,0.0007296,0.000990458,0.001342291,0.00125005,0.007257888,0.000559182,0.008358169,0.000837517
c-Met_pY1235,0.000859503,0.002782825,0.000511213,0.000546231,0.010998964,0.012188518,0.001943156,0.034490297,0.000287036,0.000647317,0.000609243,0.000747655,0.002363582,0.000500191,0.000735546,0.164919467,0.001024711,0.000472027,0.000532745,0.001325192,0.000296609,0.000602882,0.006309692,0.000553544,0.00537355,0.01859859,0.363561191,0.000602298,0.001254758,0.000531956,0.174979873,0.162827327,0.00057648,0.001568015,0.00051135
c-Raf_pS338,0.013296099,0.055167649,0.002128661,0.002369128,0.000545376,0.000490561,0.00548327,0.958796665,0.000286601,0.019288709,0.000954152,0.00086069,0.000485445,0.000514646,0.00175654,0.096229534,0.000829315,0.141537389,0.000582062,0.000438282,0.000269162,0.001124741,0.002817596,0.014922665,0.001887643,0.000595327,0.001678737,0.004873096,0.002138015,0.01009717,0.000573021,0.00062787,0.006347395,0.001424852,0.003895494
Chk1_pS345,0.000539987,0.000546028,0.00051694,0.001500257,0.014847512,0.000548463,0.001981628,0.000932673,0.163515718,0.000790886,0.000957873,0.001025426,0.000444712,0.000632935,0.000509208,0.000670518,0.000590386,0.000786292,0.002717993,0.000477254,0.000240776,0.000633264,0.002682815,0.000826969,0.000647516,0.001355545,0.000911015,0.00053115,0.000844231,0.000955367,0.000638297,0.000349446,0.0018352,0.001252178,0.000502058
Chk2_pT68,0.001873992,0.005145614,0.001762685,0.000607925,0.0011973,0.001057151,0.019024888,0.001212968,0.00034048,0.990001318,0.005368921,0.000948085,0.001440191,0.000805573,0.006684432,0.064719052,0.000961896,0.000497827,0.000621893,0.000490613,0.000631126,0.003051936,0.0258144,0.001088587,0.11012093,0.000589268,0.001479014,0.001338453,0.007651642,0.001783186,0.00083031,0.000486559,0.001211587,0.001746207,0.001118568
