,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
4EBP1_pS65,0.133259533,0.002573848,0.000972616,0.001022403,0.000312994,0.000580539,0.000531236,0.000619562,0.000388427,0.001810353,0.000905876,0.001153517,0.000594458,0.000753581,0.001454694,0.001290613,0.000935638,0.003681594,0.000631312,0.000438726,0.000243005,0.001054152,0.004186846,0.000628581,0.003117461,0.00126425,0.000591887,0.002092822,0.000713384,0.000745999,0.0007605,0.000531484,0.000469933,0.313613646,0.000475484
ACC_pS79,0.000654489,0.000565736,0.000664378,0.000670453,0.004882512,0.000554826,0.000310048,0.000656338,0.000749216,0.001679143,0.001820848,0.002343025,0.068953696,0.000802993,0.00050562,0.000863812,0.000807793,0.001317136,0.003428788,0.000829367,0.000941066,0.000724368,0.003093973,0.000974711,0.000634202,0.000354991,0.002147422,0.000540729,0.000421676,0.001202297,0.005843561,0.000531949,0.001320031,0.000931466,0.000520053
Akt_pS473,0.000107543,1.68E-05,0.999690444,0.006846323,1.77E-05,0.080644599,1.39E-05,0.000512174,0.000110043,4.34E-05,0.000175549,0.000434219,8.68E-05,0.709217626,0.000181858,0.000522482,0.000208993,0.002117765,6.37E-05,0.000966326,2.84E-05,0.000586644,0.00078243,0.00065911,0.000589682,0.000155851,4.03E-05,0.37214335,0.000134891,3.86E-05,0.010196183,4.41E-05,4.21E-05,0.567700951,2.59E-05
Akt_pT308,0.000257044,1.35E-05,0.002742894,0.993941915,4.39E-05,0.00171024,7.56E-06,0.000541991,0.000283379,1.53E-05,9.68E-05,0.000341297,0.000112802,0.347894376,6.89E-05,0.000312527,0.000115749,0.000881374,5.52E-05,0.018411376,0.000218014,0.000142126,4.11E-05,0.000128545,0.000728124,5.60E-05,3.50E-05,0.176134072,0.002125716,3.49E-05,0.014313462,6.71E-05,6.10E-05,0.07601543,7.17E-05
AMPK_pT172,0.000522749,0.09683408,0.000795266,0.003075919,0.005482783,0.001151572,0.000240022,0.000703443,0.012962051,0.001507533,0.003427712,0.003810456,0.232074633,0.000530259,0.00068183,0.00288027,0.002028737,0.00343112,0.118507969,0.000426304,0.00038234,0.000590572,0.006629599,0.000552344,0.000691929,0.001020408,0.001515373,0.000588274,0.000479727,0.000572776,0.002986167,0.000507922,0.023976961,0.001671362,0.00230904
Bad_pS112,0.000754006,0.000271105,0.001760431,0.000867078,0.000399772,0.982767237,0.000241845,0.000598906,0.000269062,0.000617511,0.000621014,0.002993941,0.002597563,0.003874572,0.000571453,0.002861629,0.214861301,0.893155916,0.000651185,0.012222776,0.00084935,0.000717972,0.098145361,0.000830846,0.001099318,0.000523713,0.002904719,0.000606432,0.066337322,0.000606144,0.002356576,0.000574963,0.000661487,0.024678557,0.000547686
c-Met_pY1235,0.002711934,0.001890752,0.000694254,0.000635259,0.004276882,0.006255137,0.001161403,0.0230465,0.000291227,0.001445,0.001229137,0.001172515,0.00515221,0.000622288,0.000500045,0.149428907,0.001145202,0.000865506,0.000563687,0.00050918,0.000364814,0.000654828,0.002360636,0.000648347,0.000676526,0.022172162,0.224170172,0.000541662,0.000602377,0.000531515,0.735511561,0.217473923,0.000717663,0.000838004,0.000694045
c-Raf_pS338,0.000658415,0.010207128,0.000673041,0.000577469,0.099938531,0.000606624,0.000390976,0.339905227,0.000633603,0.001287785,0.000580401,0.000658378,0.000755957,0.000522891,0.000999425,0.000705409,0.001767085,0.146441175,0.000915928,0.000702951,0.000955525,0.00050884,0.000291455,0.000680557,0.00092089,0.000385297,0.001288247,0.001289202,0.000430559,0.000911985,0.001114631,0.000486503,0.000883221,0.00060847,0.000478003
Chk1_pS345,0.000634813,0.000463379,0.0048259,0.002754271,0.053373221,0.000547075,0.000279122,0.000618394,0.089890923,0.003074839,0.000508146,0.00060128,0.000759105,0.001789383,0.000490856,0.002063099,0.001622274,0.005519987,0.000550919,0.000687206,0.000283754,0.00063161,0.000288561,0.000597075,0.000666862,0.000559228,0.00091063,0.000987633,0.003172573,0.000535817,0.001169656,0.000896918,0.002476231,0.024891214,0.000694032
Chk2_pT68,0.000608472,0.003899261,0.001396168,0.000669104,0.000546453,0.000720686,0.001301322,0.001842105,0.000411657,0.54778363,0.00132979,0.000889498,0.00056147,0.000559029,0.001099844,0.000913359,0.00055294,0.000734462,0.000559468,0.000415704,0.000376346,0.00244205,0.030320243,0.000553492,0.004898397,0.000613398,0.000699564,0.000904641,0.000555828,0.00054497,0.000751699,0.00048334,0.000385698,0.000618396,0.00085973
